Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
250.0,Danny Wolf,21.0,BRK,PF,29.0,4.0,19.1,2.7,6.8,0.399,1.1,3.1,0.367,1.6,3.7,0.426,0.482,1.0,1.2,0.824,1.0,3.2,4.2,1.8,0.6,0.4,1.0,1.7,7.6,
251.0,Kyle Anderson,32.0,UTA,SF,16.0,0.0,20.0,3.1,5.9,0.521,0.1,0.3,0.5,2.9,5.6,0.522,0.532,1.3,2.1,0.606,1.0,2.5,3.5,2.9,1.3,0.5,0.9,2.3,7.5,
252.0,Vince Williams Jr.,25.0,MEM,PG,29.0,11.0,21.6,2.6,7.5,0.346,1.3,4.5,0.298,1.2,3.0,0.419,0.435,1.0,1.2,0.829,0.8,3.2,4.0,4.6,0.7,0.4,1.9,2.0,7.5,
253.0,Ryan Nembhard,22.0,DAL,PG,32.0,17.0,20.3,3.1,6.8,0.452,1.0,2.4,0.397,2.1,4.4,0.482,0.523,0.3,0.3,0.727,0.2,1.7,1.9,5.2,0.3,0.0,1.5,1.5,7.4,
254.0,Cason Wallace,22.0,OKC,SG,44.0,35.0,26.6,2.8,6.7,0.412,1.4,3.8,0.365,1.4,2.9,0.472,0.515,0.5,0.7,0.733,0.8,2.3,3.1,2.1,2.1,0.2,0.9,2.0,7.4,
255.0,Quenton Jackson,27.0,IND,PG,22.0,9.0,15.8,2.4,5.4,0.437,0.8,2.1,0.37,1.6,3.3,0.479,0.508,1.8,2.3,0.784,0.5,1.4,2.0,1.9,0.6,0.2,1.2,1.7,7.3,
256.0,Bruce Brown,29.0,DEN,SG,46.0,2.0,24.4,2.8,6.2,0.453,0.5,1.4,0.323,2.4,4.8,0.491,0.49,1.0,1.3,0.774,1.2,2.9,4.1,2.2,1.0,0.2,1.0,2.4,7.2,
257.0,Javonte Green,32.0,DET,SG,43.0,4.0,19.3,2.5,5.5,0.447,1.1,3.0,0.366,1.3,2.5,0.547,0.549,1.1,1.5,0.754,0.7,2.0,2.7,0.8,1.4,0.4,0.7,1.5,7.2,
258.0,GG Jackson II,21.0,MEM,PF,23.0,3.0,15.7,2.7,5.7,0.466,0.8,2.7,0.302,1.8,3.0,0.618,0.538,1.0,1.4,0.75,0.4,2.4,2.8,0.7,0.7,0.5,1.0,1.6,7.2,
259.0,Jamal Shead,23.0,TOR,PG,47.0,7.0,22.3,2.4,6.6,0.366,1.2,3.6,0.333,1.2,3.0,0.404,0.456,1.2,1.5,0.789,0.4,1.5,1.9,5.6,1.0,0.1,1.3,2.1,7.2,
