Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
39.0,Evan Mobley,24.0,CLE,PF,40.0,38.0,1332.0,7.5,14.5,0.517,1.2,4.0,0.309,6.3,10.5,0.596,0.559,3.2,5.0,0.636,2.5,7.0,9.5,4.5,1.0,2.1,2.3,2.7,19.4,
40.0,Nikola VuÄeviÄ,35.0,CHI,C,43.0,43.0,1321.0,8.1,16.2,0.504,2.0,5.5,0.373,6.1,10.7,0.571,0.567,1.4,1.7,0.81,2.5,8.1,10.7,4.4,0.8,0.7,1.6,2.3,19.7,
41.0,Royce O'Neale,32.0,PHO,SF,45.0,40.0,1319.0,4.4,10.3,0.431,3.5,8.4,0.417,0.9,1.8,0.493,0.602,0.3,0.5,0.632,0.8,5.2,6.1,3.6,1.4,0.4,1.9,2.6,12.7,
42.0,Cade Cunningham,24.0,DET,PG,37.0,37.0,1314.0,8.9,19.7,0.451,1.9,6.0,0.321,7.0,13.7,0.508,0.5,6.0,7.3,0.823,1.0,4.9,5.9,9.8,1.5,0.8,3.9,3.3,25.6,
43.0,Karl-Anthony Towns,30.0,NYK,C,41.0,40.0,1313.0,7.6,16.3,0.469,1.9,5.3,0.363,5.7,11.0,0.52,0.528,6.2,7.2,0.86,3.3,9.6,13.0,3.3,1.0,0.7,3.0,4.1,23.4,
44.0,Anthony Black,22.0,ORL,PG,43.0,23.0,1312.0,6.6,14.5,0.459,1.9,5.4,0.354,4.7,9.1,0.521,0.525,3.3,4.5,0.726,0.9,3.9,4.8,4.7,1.5,0.8,2.8,3.2,18.4,
45.0,Naji Marshall,28.0,DAL,SF,45.0,22.0,1306.0,6.6,12.1,0.548,1.1,3.6,0.313,5.5,8.5,0.648,0.595,3.7,4.6,0.792,1.0,4.9,5.9,3.7,1.3,0.1,1.7,2.5,18.0,
46.0,Andrew Wiggins,30.0,MIA,SF,41.0,41.0,1294.0,7.0,14.8,0.471,2.2,5.5,0.398,4.8,9.3,0.513,0.544,2.0,2.6,0.783,2.0,3.6,5.6,3.2,1.4,1.1,2.0,2.7,18.1,
47.0,Julian Champagnie,24.0,SAS,SF,45.0,31.0,1290.0,4.7,11.1,0.427,3.2,8.5,0.379,1.5,2.6,0.587,0.573,2.0,2.4,0.826,1.2,6.6,7.8,1.9,1.1,0.5,1.3,2.0,14.7,
48.0,Peyton Watson,23.0,DEN,SF,43.0,33.0,1287.0,6.2,12.3,0.508,1.8,4.3,0.421,4.4,8.0,0.554,0.581,3.1,4.2,0.742,1.1,5.0,6.1,2.2,1.3,1.3,2.0,3.0,17.4,
49.0,Luka DonÄiÄ,26.0,LAL,PG,35.0,35.0,1273.0,10.4,22.4,0.465,3.4,10.2,0.333,7.0,12.2,0.575,0.541,8.9,11.3,0.785,0.9,6.8,7.7,8.6,1.6,0.5,4.3,2.7,33.1,
50.0,Collin Gillespie,26.0,PHO,PG,45.0,26.0,1272.0,6.0,13.5,0.444,3.7,8.7,0.424,2.3,4.8,0.482,0.582,1.4,1.7,0.847,1.3,4.0,5.3,6.1,1.8,0.3,2.2,1.9,17.1,
51.0,Harrison Barnes,33.0,SAS,PF,45.0,45.0,1271.0,4.7,10.9,0.432,2.4,6.6,0.358,2.4,4.3,0.546,0.54,1.9,2.2,0.87,1.0,2.8,3.8,2.7,0.9,0.2,1.2,1.6,13.7,
52.0,CJ McCollum,34.0,2TM,PG,42.0,36.0,1269.0,8.1,18.0,0.45,3.0,8.0,0.376,5.1,10.0,0.51,0.534,2.9,3.7,0.771,0.8,3.3,4.0,4.3,0.8,0.4,2.0,2.4,22.1,
52.0,CJ McCollum,34.0,WAS,SG,35.0,35.0,1082.0,8.0,17.6,0.454,3.2,8.1,0.393,4.8,9.5,0.505,0.544,2.7,3.4,0.804,0.8,3.4,4.1,4.2,0.8,0.3,1.9,2.4,21.9,
52.0,CJ McCollum,34.0,ATL,PG,7.0,1.0,187.0,8.9,20.4,0.434,1.9,7.3,0.263,6.9,13.1,0.529,0.481,3.7,5.6,0.655,0.8,2.7,3.5,4.6,1.0,1.0,2.1,2.1,23.3,
53.0,Quentin Grimes,25.0,PHI,SG,41.0,7.0,1267.0,5.0,11.5,0.433,2.4,6.7,0.353,2.6,4.9,0.544,0.536,3.4,3.9,0.861,0.8,3.8,4.5,4.3,1.2,0.5,2.4,2.4,15.7,
54.0,Anthony Edwards,24.0,MIN,SG,36.0,36.0,1266.0,10.5,21.2,0.495,3.6,8.8,0.406,6.9,12.4,0.557,0.579,5.8,7.3,0.795,0.6,4.5,5.2,3.8,1.3,0.8,2.7,2.0,30.3,
55.0,Shaedon Sharpe,22.0,POR,SG,42.0,36.0,1265.0,9.8,21.6,0.455,2.5,7.3,0.339,7.4,14.3,0.515,0.513,4.0,5.1,0.777,1.3,4.2,5.5,3.2,1.8,0.1,3.7,2.4,26.1,
56.0,Jaren Jackson Jr.,26.0,MEM,C,41.0,41.0,1252.0,8.2,17.2,0.479,2.0,5.5,0.363,6.2,11.7,0.533,0.537,3.9,4.9,0.779,1.0,5.7,6.7,2.2,1.1,1.8,2.7,4.5,22.3,
57.0,Jeremiah Fears,19.0,NOP,PG,47.0,44.0,1238.0,7.2,16.5,0.435,1.4,4.4,0.325,5.7,12.1,0.475,0.478,3.2,4.0,0.809,1.0,4.0,5.1,4.3,1.7,0.3,3.1,2.4,18.9,
58.0,Noah Clowney,21.0,BRK,PF,43.0,36.0,1237.0,5.0,12.9,0.388,2.6,8.2,0.319,2.4,4.7,0.509,0.49,3.8,4.7,0.802,1.3,4.1,5.3,2.3,1.0,1.0,2.2,3.5,16.4,
59.0,Brandin Podziemski,22.0,GSW,SG,46.0,14.0,1233.0,5.8,12.6,0.463,2.4,6.2,0.393,3.4,6.5,0.529,0.559,2.3,3.1,0.736,0.9,5.1,6.0,4.5,1.5,0.2,1.8,2.6,16.4,
60.0,Wendell Carter Jr.,26.0,ORL,C,41.0,41.0,1233.0,5.2,10.2,0.509,1.4,4.1,0.353,3.8,6.2,0.611,0.579,2.9,3.7,0.766,2.8,6.2,9.0,2.6,0.8,0.9,1.5,4.4,14.7,
61.0,Alperen ÅengÃ¼n,23.0,HOU,C,36.0,36.0,1232.0,8.6,17.0,0.508,0.7,2.3,0.299,8.0,14.8,0.54,0.527,4.4,6.3,0.693,3.0,6.5,9.5,6.7,1.6,1.1,3.5,3.4,22.3,
62.0,Bub Carrington,20.0,WAS,PG,43.0,16.0,1227.0,4.3,10.7,0.398,2.6,6.3,0.403,1.7,4.3,0.392,0.518,1.3,1.7,0.754,0.6,4.3,4.8,5.8,0.7,0.3,3.0,3.0,12.3,
63.0,Matas Buzelis,21.0,CHI,PF,44.0,44.0,1226.0,6.9,14.5,0.478,2.4,6.7,0.357,4.6,7.8,0.581,0.56,3.0,3.9,0.78,1.4,5.3,6.7,2.4,0.9,1.8,2.1,3.3,19.3,
64.0,Tim Hardaway Jr.,33.0,DEN,SG,45.0,5.0,1223.0,5.9,13.4,0.443,3.7,9.3,0.392,2.3,4.1,0.557,0.579,2.6,2.9,0.9,0.2,2.9,3.1,1.8,0.6,0.2,0.6,1.6,18.2,
65.0,Nic Claxton,26.0,BRK,C,41.0,39.0,1222.0,6.2,10.7,0.584,0.1,0.4,0.167,6.2,10.3,0.598,0.587,2.9,4.4,0.647,3.2,6.0,9.1,4.9,0.9,1.7,1.7,2.7,15.4,
66.0,Kris Dunn,31.0,LAC,PG,44.0,38.0,1211.0,3.9,8.0,0.487,1.4,3.8,0.372,2.5,4.2,0.593,0.576,1.1,1.4,0.792,1.0,2.8,3.8,4.1,2.0,0.2,1.7,3.2,10.3,
67.0,Norman Powell,32.0,MIA,SG,39.0,39.0,1204.0,9.2,19.0,0.484,3.5,8.6,0.406,5.7,10.5,0.549,0.575,5.5,6.5,0.845,0.4,3.8,4.2,3.1,1.4,0.3,2.3,2.6,27.4,
68.0,Dillon Brooks,30.0,PHO,SF,39.0,39.0,1203.0,8.6,19.8,0.435,2.8,8.3,0.344,5.8,11.6,0.5,0.507,3.5,4.1,0.855,0.8,3.3,4.1,2.0,1.3,0.1,2.2,4.0,23.6,
69.0,Max Christie,22.0,DAL,SG,41.0,32.0,1199.0,5.5,11.3,0.485,3.2,7.0,0.457,2.3,4.3,0.531,0.627,2.0,2.3,0.855,0.3,4.0,4.3,2.7,0.6,0.4,1.4,1.8,16.1,
70.0,Derik Queen,21.0,NOP,C,46.0,34.0,1196.0,6.6,13.5,0.49,0.2,1.3,0.19,6.4,12.3,0.521,0.499,3.6,4.6,0.786,2.4,7.9,10.3,6.1,1.5,1.3,3.5,3.9,17.1,
71.0,Saddiq Bey,26.0,NOP,SF,40.0,32.0,1195.0,6.6,14.6,0.45,2.0,6.1,0.335,4.5,8.5,0.534,0.521,3.8,4.5,0.828,1.9,4.8,6.7,2.7,1.1,0.1,0.8,1.4,18.9,
72.0,Myles Turner,29.0,MIL,C,42.0,42.0,1190.0,5.1,12.1,0.426,2.8,7.3,0.388,2.3,4.8,0.484,0.543,2.6,3.4,0.761,1.5,5.3,6.8,2.0,0.8,2.0,1.3,3.4,15.7,
73.0,Ivica Zubac,28.0,LAC,C,38.0,37.0,1187.0,7.3,12.1,0.603,0.0,0.0,,7.3,12.1,0.603,0.603,2.5,3.4,0.732,4.2,8.5,12.7,2.6,0.5,1.0,2.2,2.8,17.1,
74.0,Lauri Markkanen,28.0,UTA,PF,33.0,33.0,1187.0,9.5,19.7,0.483,2.9,8.0,0.365,6.6,11.7,0.563,0.557,6.0,6.8,0.884,2.0,5.2,7.2,2.2,1.0,0.5,1.6,2.0,28.0,
75.0,Duncan Robinson,31.0,DET,SF,41.0,41.0,1183.0,5.0,11.5,0.438,3.7,9.1,0.403,1.4,2.4,0.57,0.597,1.4,1.9,0.734,0.5,3.0,3.4,2.3,0.9,0.5,0.9,2.7,15.1,
76.0,Jimmy Butler,36.0,GSW,SF,38.0,38.0,1182.0,7.3,14.1,0.519,1.0,2.6,0.376,6.3,11.5,0.552,0.554,7.6,8.7,0.864,2.7,3.7,6.4,5.6,1.7,0.2,1.8,1.4,23.1,
77.0,Naz Reid,26.0,MIN,C,45.0,2.0,1181.0,7.5,15.8,0.474,3.4,8.6,0.392,4.1,7.2,0.572,0.581,1.6,2.1,0.783,1.6,7.0,8.5,3.4,1.2,1.2,2.1,3.4,20.0,
78.0,A.J. Green,26.0,MIL,SG,40.0,40.0,1181.0,4.2,9.4,0.445,3.7,8.5,0.437,0.5,0.9,0.517,0.643,0.7,0.9,0.8,0.2,2.9,3.1,2.4,0.7,0.1,1.1,3.0,12.8,
79.0,Cason Wallace,22.0,OKC,SG,44.0,35.0,1171.0,3.7,9.0,0.412,1.9,5.1,0.365,1.8,3.9,0.472,0.515,0.7,0.9,0.733,1.1,3.1,4.2,2.8,2.9,0.3,1.2,2.8,10.0,
80.0,De'Aaron Fox,28.0,SAS,PG,36.0,36.0,1171.0,8.3,17.4,0.479,2.4,6.7,0.355,6.0,10.7,0.556,0.547,3.6,4.5,0.797,0.8,3.8,4.6,6.6,1.4,0.3,2.7,2.6,22.7,
81.0,Jake LaRavia,24.0,LAL,PF,43.0,22.0,1170.0,4.5,9.7,0.462,1.6,4.6,0.345,2.9,5.2,0.565,0.543,2.0,2.6,0.753,2.0,3.5,5.6,2.7,1.8,0.6,1.4,2.9,12.5,
82.0,Chet Holmgren,23.0,OKC,PF,40.0,40.0,1168.0,8.3,14.5,0.572,1.7,4.5,0.384,6.6,10.0,0.656,0.631,3.8,5.0,0.77,2.2,8.4,10.5,2.0,0.7,2.5,2.1,3.4,22.2,
83.0,Davion Mitchell,27.0,MIA,PG,40.0,40.0,1167.0,4.4,9.4,0.47,1.4,3.5,0.4,3.0,5.8,0.513,0.546,0.9,1.3,0.651,0.5,2.7,3.2,8.9,1.5,0.2,2.1,3.4,11.1,
84.0,Michael Porter Jr.,27.0,BRK,SF,35.0,34.0,1162.0,9.7,20.2,0.481,4.1,10.4,0.394,5.6,9.9,0.572,0.582,4.0,4.7,0.849,1.4,6.6,8.0,3.5,1.1,0.2,2.8,2.2,27.5,
85.0,Jaylen Wells,22.0,MEM,SG,43.0,43.0,1161.0,5.4,13.4,0.405,2.3,6.9,0.326,3.2,6.4,0.49,0.49,2.7,3.5,0.777,1.3,3.3,4.6,2.3,1.1,0.1,1.6,2.7,15.8,
86.0,Andrew Nembhard,26.0,IND,PG,36.0,36.0,1153.0,7.0,15.5,0.451,2.1,5.7,0.364,4.9,9.7,0.502,0.518,3.8,4.7,0.815,0.5,2.6,3.1,8.1,1.0,0.2,2.7,2.5,19.9,
87.0,Donovan Clingan,21.0,POR,C,42.0,42.0,1151.0,5.7,10.6,0.535,1.2,3.8,0.311,4.5,6.8,0.661,0.591,2.2,3.3,0.67,5.8,8.6,14.4,2.5,0.7,1.6,1.3,3.1,14.8,
88.0,Jaime Jaquez Jr.,24.0,MIA,SF,40.0,1.0,1151.0,7.8,15.0,0.517,0.6,2.2,0.271,7.2,12.8,0.559,0.536,3.1,4.2,0.744,1.7,4.9,6.5,5.8,1.0,0.3,2.8,2.5,19.2,
89.0,Santi Aldama,25.0,MEM,PF,41.0,9.0,1147.0,6.8,14.2,0.478,2.1,6.0,0.349,4.7,8.2,0.573,0.552,2.3,3.4,0.673,2.0,6.6,8.6,3.9,1.1,0.9,1.7,2.0,18.0,
90.0,Bam Adebayo,28.0,MIA,C,37.0,37.0,1144.0,7.5,16.6,0.45,1.8,5.0,0.35,5.7,11.5,0.493,0.503,3.8,4.9,0.776,2.2,8.9,11.2,3.3,1.1,0.9,2.1,2.0,20.5,
91.0,Stephen Curry,37.0,GSW,PG,36.0,36.0,1141.0,10.3,22.0,0.47,5.2,13.2,0.392,5.1,8.8,0.586,0.588,5.3,5.7,0.928,0.5,3.8,4.2,5.6,1.2,0.5,3.2,2.3,31.1,
92.0,Jaylon Tyson,23.0,CLE,SG,41.0,26.0,1134.0,6.8,13.2,0.512,2.6,5.7,0.459,4.1,7.5,0.553,0.612,1.6,2.1,0.742,2.7,4.4,7.1,2.8,1.2,0.6,1.9,3.7,17.7,
93.0,Sion James,23.0,CHO,SG,45.0,18.0,1131.0,2.7,7.0,0.384,1.5,4.1,0.362,1.2,2.8,0.416,0.491,2.0,2.3,0.873,0.8,4.1,4.9,2.9,0.9,0.5,1.1,2.6,8.8,
94.0,Ajay Mitchell,23.0,OKC,SG,43.0,9.0,1129.0,7.1,14.5,0.487,1.5,4.4,0.35,5.5,10.2,0.545,0.539,3.6,4.2,0.87,0.9,3.8,4.8,5.0,1.9,0.4,2.2,3.0,19.3,
95.0,John Collins,28.0,LAC,PF,41.0,32.0,1128.0,6.7,12.0,0.559,1.8,4.2,0.427,4.9,7.8,0.629,0.633,2.1,2.6,0.807,1.8,4.6,6.4,1.1,1.1,1.1,1.8,3.5,17.3,
96.0,Bruce Brown,29.0,DEN,SG,46.0,2.0,1121.0,4.2,9.2,0.453,0.7,2.1,0.323,3.5,7.1,0.491,0.49,1.5,2.0,0.774,1.7,4.3,6.1,3.3,1.5,0.4,1.5,3.5,10.6,
97.0,Stephon Castle,21.0,SAS,PG,36.0,36.0,1117.0,6.5,14.5,0.451,1.3,4.6,0.282,5.3,9.9,0.529,0.496,5.3,7.3,0.721,1.4,4.5,5.8,8.2,1.5,0.3,4.1,4.0,19.6,
