Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
208.0,Jordan Walsh,21.0,BOS,PF,39.0,20.0,741.0,14.4,0.672,0.429,0.199,7.8,18.2,13.1,5.9,2.3,2.5,10.5,11.0,1.5,1.1,2.5,0.165,-0.6,1.4,0.8,0.5,
209.0,Walter Clayton,22.0,UTA,PG,40.0,0.0,739.0,11.1,0.551,0.562,0.249,1.9,10.3,6.0,24.4,1.4,1.0,15.7,17.1,0.5,0.0,0.5,0.032,-1.5,-1.5,-3.1,-0.2,
210.0,Dru Smith,28.0,MIA,SG,44.0,1.0,735.0,13.9,0.532,0.422,0.326,4.6,10.1,7.3,19.3,4.0,1.9,14.1,16.0,0.5,1.2,1.7,0.109,-1.7,3.5,1.7,0.7,
211.0,Patrick Williams,24.0,CHI,PF,40.0,1.0,735.0,8.8,0.506,0.534,0.172,3.7,13.2,8.6,8.3,1.8,1.2,12.0,16.7,-0.4,0.6,0.1,0.01,-3.1,-0.9,-4.0,-0.4,
212.0,Isaiah Joe,26.0,OKC,SG,37.0,1.0,735.0,13.7,0.638,0.814,0.259,2.7,10.7,6.9,8.6,1.2,0.8,7.7,17.6,1.3,1.1,2.4,0.159,0.9,-0.2,0.7,0.5,
213.0,Yves Missi,21.0,NOP,C,39.0,7.0,734.0,15.3,0.558,0.006,0.283,16.9,15.2,16.1,8.4,0.8,6.6,13.4,12.7,1.0,0.4,1.4,0.094,-1.2,-1.3,-2.4,-0.1,
214.0,Khris Middleton,34.0,WAS,SF,30.0,30.0,734.0,10.9,0.518,0.333,0.229,4.2,13.0,8.6,18.7,1.5,1.0,14.2,18.9,0.0,0.2,0.2,0.013,-3.1,-1.4,-4.5,-0.5,
215.0,Steven Adams,32.0,HOU,C,32.0,11.0,730.0,15.9,0.535,0.0,0.583,22.2,20.0,21.1,8.3,1.5,2.5,16.7,12.0,1.1,1.0,2.1,0.139,0.0,-0.4,-0.4,0.3,
216.0,Ziaire Williams,24.0,BRK,SF,32.0,4.0,729.0,11.1,0.57,0.708,0.297,2.7,10.5,6.4,4.2,2.5,2.1,10.7,17.9,0.1,0.6,0.7,0.048,-2.5,-0.1,-2.6,-0.1,
217.0,Craig Porter Jr.,25.0,CLE,PG,41.0,2.0,728.0,14.5,0.542,0.349,0.151,8.8,13.2,10.9,21.7,2.5,3.3,17.2,12.6,0.9,0.9,1.8,0.122,0.5,2.1,2.6,0.9,
218.0,Joel Embiid,31.0,PHI,C,24.0,24.0,727.0,23.0,0.59,0.23,0.472,7.4,19.2,13.2,20.6,1.0,3.4,12.8,33.1,1.3,0.9,2.1,0.141,3.6,-0.2,3.4,1.0,
219.0,Paul George,35.0,PHI,PF,24.0,24.0,723.0,15.3,0.553,0.49,0.231,1.9,17.5,9.6,18.2,2.3,1.6,10.8,22.1,0.6,1.0,1.5,0.102,0.4,0.6,1.0,0.5,
220.0,Mike Conley,38.0,MIN,PG,39.0,8.0,721.0,9.3,0.518,0.744,0.263,2.0,8.3,5.2,19.3,1.5,0.9,11.9,11.8,0.7,0.6,1.4,0.092,-2.3,0.6,-1.7,0.1,
221.0,RJ Barrett,25.0,TOR,SF,24.0,24.0,720.0,17.4,0.583,0.371,0.307,2.9,16.2,9.5,18.8,1.3,0.7,8.8,25.6,0.9,0.8,1.7,0.116,1.4,-0.7,0.7,0.5,
222.0,Mouhamed Gueye,23.0,ATL,PF,45.0,4.0,719.0,10.9,0.512,0.433,0.209,7.6,16.6,12.1,8.0,2.3,3.2,11.3,13.4,0.1,0.9,1.0,0.069,-3.6,0.7,-2.8,-0.2,
223.0,Aaron Wiggins,27.0,OKC,SG,31.0,11.0,718.0,13.1,0.571,0.543,0.108,2.9,12.4,7.9,10.0,1.7,2.7,10.5,19.0,0.3,1.3,1.6,0.106,0.0,0.6,0.6,0.5,
224.0,Jalen Smith,25.0,CHI,C,37.0,7.0,717.0,17.5,0.587,0.545,0.22,10.8,26.4,18.8,9.6,1.1,4.0,10.1,19.8,1.0,0.9,1.8,0.122,0.4,-0.8,-0.3,0.3,
225.0,Jalen Williams,24.0,OKC,SG,24.0,24.0,711.0,17.8,0.542,0.179,0.25,2.6,14.3,8.7,27.7,2.2,1.2,11.2,25.6,0.6,1.4,2.0,0.136,0.4,1.2,1.6,0.6,
226.0,Jordan Poole,26.0,NOP,PG,28.0,6.0,710.0,11.6,0.533,0.624,0.287,0.9,7.1,3.9,17.4,1.3,1.2,12.2,25.4,0.0,0.1,0.1,0.006,-0.8,-2.6,-3.5,-0.3,
