Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,Added,Added,Unnamed: 26_level_0
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,Awards
34.0,Ryan Rollins,23.0,MIL,PG,44.0,39.0,1390.0,0.459,0.509,0.392,0.543,0.764,0.563,0.151,0.431,98.0,93.0,109.0,100.0,97.0,97.0,56.0,104.0,-0.7,-21.7,
35.0,Jaden McDaniels,25.0,MIN,PF,43.0,43.0,1386.0,0.516,0.559,0.417,0.579,0.842,0.615,0.239,0.302,110.0,102.0,116.0,106.0,107.0,106.0,89.0,73.0,33.3,35.9,
36.0,Russell Westbrook,37.0,SAC,SF,46.0,40.0,1367.0,0.435,0.503,0.351,0.513,0.696,0.538,0.224,0.445,93.0,92.0,98.0,94.0,89.0,93.0,84.0,107.0,-36.6,-55.9,
37.0,Rudy Gobert,33.0,MIN,C,43.0,43.0,1363.0,0.716,0.719,0.0,0.716,0.506,0.686,0.605,0.004,153.0,131.0,0.0,132.0,64.0,118.0,226.0,1.0,93.3,72.6,
38.0,Jalen Brunson,29.0,NYK,PG,39.0,38.0,1341.0,0.478,0.535,0.379,0.547,0.852,0.594,0.283,0.366,102.0,98.0,106.0,101.0,108.0,102.0,106.0,88.0,5.8,24.4,
39.0,Evan Mobley,24.0,CLE,PF,40.0,38.0,1332.0,0.517,0.596,0.309,0.559,0.636,0.581,0.342,0.277,110.0,109.0,86.0,103.0,81.0,100.0,128.0,67.0,16.9,0.3,
40.0,Nikola VuÄeviÄ,35.0,CHI,C,43.0,43.0,1321.0,0.504,0.571,0.373,0.567,0.81,0.583,0.106,0.339,107.0,104.0,104.0,104.0,103.0,100.0,40.0,82.0,28.1,3.3,
41.0,Royce O'Neale,32.0,PHO,SF,45.0,40.0,1319.0,0.431,0.493,0.417,0.602,0.632,0.605,0.051,0.822,92.0,90.0,116.0,111.0,80.0,104.0,19.0,198.0,44.1,18.7,
42.0,Cade Cunningham,24.0,DET,PG,37.0,37.0,1314.0,0.451,0.508,0.321,0.5,0.823,0.561,0.369,0.304,96.0,93.0,89.0,92.0,105.0,97.0,138.0,73.0,-62.8,-33.1,
43.0,Karl-Anthony Towns,30.0,NYK,C,41.0,40.0,1313.0,0.469,0.52,0.363,0.528,0.86,0.601,0.445,0.325,100.0,95.0,101.0,97.0,109.0,104.0,166.0,79.0,-18.9,29.6,
44.0,Anthony Black,22.0,ORL,PG,43.0,23.0,1312.0,0.459,0.521,0.354,0.525,0.726,0.561,0.311,0.37,98.0,95.0,99.0,96.0,92.0,97.0,116.0,89.0,-20.1,-23.7,
45.0,Naji Marshall,28.0,DAL,SF,45.0,22.0,1306.0,0.548,0.648,0.313,0.595,0.792,0.639,0.384,0.299,117.0,118.0,87.0,109.0,101.0,110.0,143.0,72.0,44.7,59.6,
46.0,Andrew Wiggins,30.0,MIA,SF,41.0,41.0,1294.0,0.471,0.513,0.398,0.544,0.783,0.569,0.173,0.369,100.0,94.0,111.0,100.0,100.0,98.0,65.0,89.0,0.6,-13.5,
47.0,Julian Champagnie,24.0,SAS,SF,45.0,31.0,1290.0,0.427,0.587,0.379,0.573,0.826,0.605,0.216,0.769,91.0,107.0,106.0,105.0,105.0,104.0,81.0,185.0,23.2,20.9,
48.0,Peyton Watson,23.0,DEN,SF,43.0,33.0,1287.0,0.508,0.554,0.421,0.581,0.742,0.615,0.344,0.346,108.0,101.0,117.0,107.0,94.0,106.0,129.0,84.0,32.6,35.1,
49.0,Luka DonÄiÄ,26.0,LAL,PG,35.0,35.0,1273.0,0.465,0.575,0.333,0.541,0.785,0.605,0.506,0.455,99.0,105.0,93.0,100.0,100.0,104.0,189.0,110.0,-4.2,47.2,
50.0,Collin Gillespie,26.0,PHO,PG,45.0,26.0,1272.0,0.444,0.482,0.424,0.582,0.847,0.601,0.124,0.648,95.0,88.0,118.0,107.0,108.0,104.0,46.0,156.0,36.3,21.0,
51.0,Harrison Barnes,33.0,SAS,PF,45.0,45.0,1271.0,0.432,0.546,0.358,0.54,0.87,0.577,0.201,0.604,92.0,100.0,100.0,99.0,111.0,99.0,75.0,146.0,-2.6,-3.2,
52.0,CJ McCollum,34.0,2TM,PG,42.0,36.0,1269.0,0.45,0.51,0.376,0.534,0.771,0.562,0.206,0.444,96.0,93.0,105.0,98.0,98.0,97.0,77.0,107.0,-12.6,-25.2,
52.0,CJ McCollum,34.0,WAS,SG,35.0,35.0,1082.0,0.454,0.505,0.393,0.544,0.804,0.573,0.193,0.461,97.0,92.0,110.0,100.0,102.0,99.0,72.0,111.0,0.7,-8.3,
52.0,CJ McCollum,34.0,ATL,PG,7.0,1.0,187.0,0.434,0.529,0.263,0.481,0.655,0.509,0.274,0.358,92.0,97.0,73.0,88.0,83.0,88.0,102.0,86.0,-13.3,-16.9,
53.0,Quentin Grimes,25.0,PHI,SG,41.0,7.0,1267.0,0.433,0.544,0.353,0.536,0.861,0.593,0.337,0.579,92.0,99.0,98.0,99.0,110.0,102.0,126.0,140.0,-6.5,11.6,
54.0,Anthony Edwards,24.0,MIN,SG,36.0,36.0,1266.0,0.495,0.557,0.406,0.579,0.795,0.622,0.347,0.414,105.0,102.0,113.0,106.0,101.0,107.0,130.0,100.0,51.9,70.3,
55.0,Shaedon Sharpe,22.0,POR,SG,42.0,36.0,1265.0,0.455,0.515,0.339,0.513,0.777,0.547,0.236,0.338,97.0,94.0,94.0,94.0,99.0,94.0,88.0,82.0,-47.5,-55.9,
56.0,Jaren Jackson Jr.,26.0,MEM,C,41.0,41.0,1252.0,0.479,0.533,0.363,0.537,0.779,0.576,0.288,0.318,102.0,97.0,101.0,99.0,99.0,99.0,108.0,77.0,-8.2,-6.0,
57.0,Jeremiah Fears,19.0,NOP,PG,47.0,44.0,1238.0,0.435,0.475,0.325,0.478,0.809,0.52,0.24,0.267,93.0,87.0,90.0,88.0,103.0,90.0,90.0,64.0,-74.5,-75.7,
58.0,Noah Clowney,21.0,BRK,PF,43.0,36.0,1237.0,0.388,0.509,0.319,0.49,0.802,0.548,0.366,0.637,83.0,93.0,89.0,90.0,102.0,94.0,137.0,154.0,-47.7,-33.1,
59.0,Brandin Podziemski,22.0,GSW,SG,46.0,14.0,1233.0,0.463,0.529,0.393,0.559,0.736,0.586,0.245,0.488,99.0,97.0,110.0,103.0,94.0,101.0,92.0,118.0,13.2,5.3,
60.0,Wendell Carter Jr.,26.0,ORL,C,41.0,41.0,1233.0,0.509,0.611,0.353,0.579,0.766,0.619,0.366,0.397,108.0,112.0,98.0,106.0,97.0,107.0,137.0,96.0,24.4,31.2,
61.0,Alperen ÅengÃ¼n,23.0,HOU,C,36.0,36.0,1232.0,0.508,0.54,0.299,0.527,0.693,0.564,0.369,0.132,108.0,99.0,83.0,97.0,88.0,97.0,138.0,32.0,-19.0,-22.8,
62.0,Bub Carrington,20.0,WAS,PG,43.0,16.0,1227.0,0.398,0.392,0.403,0.518,0.754,0.54,0.157,0.593,85.0,72.0,112.0,95.0,96.0,93.0,59.0,143.0,-18.8,-31.8,
63.0,Matas Buzelis,21.0,CHI,PF,44.0,44.0,1226.0,0.478,0.581,0.357,0.56,0.78,0.594,0.267,0.46,102.0,106.0,99.0,103.0,99.0,102.0,100.0,111.0,15.8,15.0,
