Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
76.0,Jimmy Butler,36.0,GSW,SF,38.0,38.0,1182.0,9.8,18.8,0.519,1.3,3.5,0.376,8.5,15.3,0.552,0.554,10.1,11.7,0.864,3.6,5.0,8.6,7.5,2.2,0.3,2.4,1.9,30.9,136.0,115.0,
77.0,Naz Reid,26.0,MIN,C,45.0,2.0,1181.0,9.9,21.0,0.474,4.5,11.4,0.392,5.5,9.5,0.572,0.581,2.2,2.8,0.783,2.1,9.2,11.3,4.5,1.7,1.6,2.8,4.6,26.5,116.0,112.0,
78.0,A.J. Green,26.0,MIL,SG,40.0,40.0,1181.0,5.7,12.7,0.445,5.0,11.5,0.437,0.6,1.2,0.517,0.643,1.0,1.2,0.8,0.3,4.0,4.3,3.3,1.0,0.1,1.5,4.1,17.4,121.0,121.0,
79.0,Cason Wallace,22.0,OKC,SG,44.0,35.0,1171.0,5.0,12.1,0.412,2.5,6.8,0.365,2.5,5.2,0.472,0.515,0.9,1.2,0.733,1.4,4.1,5.6,3.8,3.8,0.4,1.6,3.7,13.3,109.0,106.0,
80.0,De'Aaron Fox,28.0,SAS,PG,36.0,36.0,1171.0,11.1,23.2,0.479,3.2,8.9,0.355,8.0,14.3,0.556,0.547,4.8,6.1,0.797,1.0,5.1,6.2,8.8,1.9,0.4,3.6,3.4,30.2,117.0,114.0,
81.0,Jake LaRavia,24.0,LAL,PF,43.0,22.0,1170.0,6.1,13.1,0.462,2.1,6.2,0.345,4.0,7.0,0.565,0.543,2.7,3.5,0.753,2.7,4.8,7.5,3.6,2.4,0.8,1.9,3.9,16.9,119.0,117.0,
82.0,Chet Holmgren,23.0,OKC,PF,40.0,40.0,1168.0,11.1,19.4,0.572,2.3,6.0,0.384,8.8,13.4,0.656,0.631,5.1,6.6,0.77,2.9,11.2,14.1,2.7,0.9,3.3,2.8,4.5,29.6,125.0,104.0,
83.0,Davion Mitchell,27.0,MIA,PG,40.0,40.0,1167.0,5.7,12.0,0.47,1.8,4.5,0.4,3.8,7.5,0.513,0.546,1.1,1.7,0.651,0.6,3.4,4.1,11.4,1.9,0.2,2.6,4.3,14.2,119.0,116.0,
84.0,Michael Porter Jr.,27.0,BRK,SF,35.0,34.0,1162.0,13.5,28.0,0.481,5.7,14.4,0.394,7.8,13.6,0.572,0.582,5.5,6.5,0.849,2.0,9.1,11.1,4.8,1.5,0.3,3.8,3.1,38.1,116.0,118.0,
85.0,Jaylen Wells,22.0,MEM,SG,43.0,43.0,1161.0,7.1,17.6,0.405,3.0,9.1,0.326,4.2,8.5,0.49,0.49,3.5,4.6,0.777,1.7,4.4,6.1,3.0,1.5,0.1,2.0,3.6,20.8,107.0,117.0,
86.0,Andrew Nembhard,26.0,IND,PG,36.0,36.0,1153.0,9.2,20.5,0.451,2.8,7.6,0.364,6.5,12.9,0.502,0.518,5.1,6.2,0.815,0.7,3.5,4.1,10.8,1.3,0.2,3.5,3.3,26.3,115.0,120.0,
87.0,Donovan Clingan,21.0,POR,C,42.0,42.0,1151.0,7.5,14.0,0.535,1.6,5.0,0.311,5.9,9.0,0.661,0.591,2.9,4.4,0.67,7.6,11.3,19.0,3.3,0.9,2.1,1.7,4.1,19.5,134.0,113.0,
88.0,Jaime Jaquez Jr.,24.0,MIA,SF,40.0,1.0,1151.0,9.9,19.2,0.517,0.8,2.8,0.271,9.2,16.4,0.559,0.536,4.0,5.3,0.744,2.1,6.3,8.4,7.5,1.3,0.3,3.6,3.2,24.6,113.0,116.0,
89.0,Santi Aldama,25.0,MEM,PF,41.0,9.0,1147.0,9.0,18.7,0.478,2.8,7.9,0.349,6.2,10.8,0.573,0.552,3.0,4.4,0.673,2.6,8.7,11.3,5.1,1.5,1.2,2.2,2.7,23.6,117.0,113.0,
90.0,Bam Adebayo,28.0,MIA,C,37.0,37.0,1144.0,9.6,21.2,0.45,2.3,6.5,0.35,7.3,14.8,0.493,0.503,4.9,6.3,0.776,2.9,11.4,14.3,4.2,1.5,1.1,2.7,2.5,26.2,111.0,111.0,
91.0,Stephen Curry,37.0,GSW,PG,36.0,36.0,1141.0,13.8,29.3,0.47,6.9,17.6,0.392,6.9,11.7,0.586,0.588,7.0,7.6,0.928,0.6,5.0,5.6,7.5,1.6,0.6,4.2,3.0,41.5,120.0,116.0,
92.0,Jaylon Tyson,23.0,CLE,SG,41.0,26.0,1134.0,8.9,17.4,0.512,3.5,7.6,0.459,5.4,9.8,0.553,0.612,2.0,2.8,0.742,3.6,5.9,9.4,3.7,1.6,0.8,2.6,4.9,23.3,122.0,116.0,
93.0,Sion James,23.0,CHO,SG,45.0,18.0,1131.0,3.6,9.5,0.384,2.0,5.6,0.362,1.6,3.9,0.416,0.491,2.7,3.1,0.873,1.1,5.5,6.7,3.9,1.2,0.7,1.5,3.6,12.0,119.0,119.0,
94.0,Ajay Mitchell,23.0,OKC,SG,43.0,9.0,1129.0,9.4,19.4,0.487,2.0,5.8,0.35,7.4,13.6,0.545,0.539,4.8,5.6,0.87,1.2,5.1,6.3,6.7,2.6,0.6,2.9,4.0,25.8,117.0,108.0,
95.0,John Collins,28.0,LAC,PF,41.0,32.0,1128.0,9.3,16.7,0.559,2.5,5.8,0.427,6.8,10.9,0.629,0.633,3.0,3.7,0.807,2.4,6.4,8.8,1.5,1.6,1.6,2.5,4.8,24.1,121.0,118.0,
96.0,Bruce Brown,29.0,DEN,SG,46.0,2.0,1121.0,5.7,12.6,0.453,0.9,2.8,0.323,4.8,9.7,0.491,0.49,2.1,2.7,0.774,2.4,5.9,8.3,4.5,2.0,0.5,2.1,4.8,14.4,111.0,117.0,
