Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,1/2 Court,1/2 Court,Unnamed: 30_level_0
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards
33.0,Devin Booker,29.0,PHO,SG,41.0,41.0,1394.0,0.456,15.1,0.703,0.133,0.182,0.253,0.135,0.297,0.517,0.67,0.467,0.492,0.48,0.313,0.336,0.686,0.017,10.0,0.063,0.214,1.0,0.0,
34.0,Ryan Rollins,23.0,MIL,PG,44.0,39.0,1390.0,0.459,14.9,0.569,0.245,0.147,0.118,0.058,0.431,0.509,0.669,0.345,0.471,0.324,0.392,0.246,0.68,0.022,13.0,0.212,0.389,0.0,0.0,
35.0,Jaden McDaniels,25.0,MIN,PF,43.0,43.0,1386.0,0.516,11.9,0.698,0.233,0.296,0.136,0.034,0.302,0.559,0.721,0.461,0.508,0.5,0.417,0.629,0.933,0.084,33.0,0.417,0.483,0.0,0.0,
36.0,Russell Westbrook,37.0,SAC,SF,46.0,40.0,1367.0,0.435,15.3,0.555,0.145,0.251,0.096,0.063,0.445,0.503,0.69,0.497,0.414,0.237,0.351,0.256,0.819,0.01,5.0,0.276,0.392,0.0,0.0,
37.0,Rudy Gobert,33.0,MIN,C,43.0,43.0,1363.0,0.716,2.3,0.996,0.749,0.229,0.011,0.007,0.004,0.719,0.798,0.484,0.667,0.0,0.0,0.691,,0.439,110.0,1.0,0.0,0.0,0.0,
38.0,Jalen Brunson,29.0,NYK,PG,39.0,38.0,1341.0,0.478,15.1,0.634,0.131,0.224,0.19,0.088,0.366,0.535,0.692,0.478,0.523,0.472,0.379,0.239,0.575,0.0,0.0,0.154,0.478,0.0,0.0,
39.0,Evan Mobley,24.0,CLE,PF,40.0,38.0,1332.0,0.517,10.7,0.723,0.364,0.24,0.087,0.032,0.277,0.596,0.811,0.364,0.447,0.294,0.309,0.642,0.87,0.204,103.0,0.114,0.235,1.0,0.0,
40.0,Nikola VuÄeviÄ,35.0,CHI,C,43.0,43.0,1321.0,0.504,13.1,0.661,0.202,0.317,0.105,0.037,0.339,0.571,0.692,0.521,0.532,0.455,0.373,0.777,0.973,0.015,8.0,0.095,0.211,0.0,0.0,
41.0,Royce O'Neale,32.0,PHO,SF,45.0,40.0,1319.0,0.431,22.7,0.178,0.069,0.077,0.027,0.005,0.822,0.493,0.654,0.345,0.5,0.5,0.417,0.576,0.938,0.011,4.0,0.152,0.574,0.0,0.0,
42.0,Cade Cunningham,24.0,DET,PG,37.0,37.0,1314.0,0.451,13.1,0.696,0.174,0.316,0.139,0.067,0.304,0.508,0.632,0.467,0.46,0.479,0.321,0.252,0.443,0.043,27.0,0.05,0.182,0.0,0.0,
