Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
39,Nic Claxton,C,23,BRK,4,4,117,8.2,11.4,.720,0.0,0.0,,8.2,11.4,.720,2.7,4.6,.600,2.3,12.3,14.6,2.7,0.5,3.2,1.4,3.7,19.2,,134,111
40,Amir Coffey,SF,25,LAC,1,0,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,131
41,John Collins,PF,25,ATL,6,6,164,7.6,17.4,.433,3.2,9.3,.344,4.4,8.1,.536,1.5,1.7,.833,2.0,5.5,7.6,1.5,0.6,1.7,2.6,3.8,19.8,,103,122
42,Mike Conley,PG,35,MIN,5,5,183,5.6,11.7,.476,2.8,6.1,.455,2.8,5.6,.500,2.8,3.1,.909,0.6,3.1,3.6,8.9,0.8,0.0,2.0,3.1,16.7,,130,124
43,Pat Connaughton,SF,30,MIL,4,0,88,9.1,16.0,.567,5.9,12.3,.478,3.2,3.7,.857,1.6,2.1,.750,2.1,8.5,10.7,3.7,2.1,0.5,1.1,5.3,25.6,,146,116
44,Robert Covington,PF,32,LAC,2,0,12,0.0,12.2,.000,0.0,8.1,.000,0.0,4.1,.000,0.0,0.0,,0.0,8.1,8.1,8.1,0.0,4.1,0.0,8.1,0.0,,43,122
45,Torrey Craig,PF,32,PHO,11,5,183,7.0,12.1,.578,3.0,6.7,.440,4.0,5.4,.750,2.2,2.4,.889,1.9,4.8,6.7,1.6,1.3,0.5,0.8,6.2,19.1,,142,121
46,Jae Crowder,PF,32,MIL,4,0,41,3.4,14.9,.231,0.0,6.9,.000,3.4,8.0,.429,1.1,2.3,.500,1.1,3.4,4.6,3.4,2.3,0.0,1.1,5.7,8.0,,67,119
47,Seth Curry,SG,32,BRK,3,0,58,9.2,17.5,.526,2.8,8.3,.333,6.5,9.2,.700,1.8,2.8,.667,0.0,2.8,2.8,5.5,0.0,0.0,0.9,1.8,23.1,,121,123
48,Stephen Curry,PG,34,GSW,13,13,493,14.0,30.0,.466,5.5,15.1,.363,8.5,14.8,.571,4.7,5.6,.845,0.9,5.6,6.5,7.6,1.3,0.6,4.0,3.3,38.2,,115,114
49,Anthony Davis,C,29,LAL,16,16,608,10.6,20.4,.520,0.4,1.2,.333,10.2,19.2,.531,7.4,8.7,.852,3.1,15.0,18.1,3.3,1.8,4.0,2.7,3.7,29.0,,118,102
50,Terence Davis,SG,25,SAC,4,0,58,6.4,16.1,.400,4.8,13.7,.353,1.6,2.4,.667,1.6,1.6,1.000,1.6,5.6,7.2,4.8,0.8,0.0,1.6,9.7,19.3,,123,116
51,Dewayne Dedmon,C,33,PHI,1,0,5,0.0,10.5,.000,0.0,10.5,.000,0.0,0.0,,0.0,0.0,,0.0,10.5,10.5,0.0,0.0,0.0,10.5,10.5,0.0,,0,117
52,Spencer Dinwiddie,PG,29,BRK,4,4,159,7.4,17.2,.431,2.4,6.1,.389,5.0,11.1,.455,5.0,7.4,.682,0.3,4.0,4.4,8.7,1.7,0.3,4.0,2.4,22.2,,103,118
