Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
128,Miles McBride,PG,22,NYK,8,0,20,1,4,.250,1,3,.333,0,1,.000,.375,0,0,,0,2,2,1,0,1,0,1,3
129,Jalen McDaniels,SF,25,PHI,8,0,102,8,20,.400,3,9,.333,5,11,.455,.475,0,0,,3,13,16,5,1,0,3,8,19
130,Jordan McLaughlin,PG,26,MIN,2,0,14,0,4,.000,0,2,.000,0,2,.000,.000,0,0,,0,2,2,2,0,0,0,2,0
131,De'Anthony Melton,SG,24,PHI,11,0,274,31,81,.383,19,49,.388,12,32,.375,.500,6,8,.750,14,22,36,18,13,9,8,20,87
132,Chimezie Metu,PF,25,SAC,3,0,6,0,1,.000,0,0,,0,1,.000,.000,2,3,.667,1,0,1,0,0,0,1,0,2
133,Khris Middleton,SF,31,MIL,5,5,173,40,86,.465,13,32,.406,27,54,.500,.541,26,30,.867,7,25,32,31,3,0,17,15,119
134,Patty Mills,PG,34,BRK,1,0,5,0,2,.000,0,2,.000,0,0,,.000,0,0,,0,0,0,0,0,0,0,1,0
135,Shake Milton,SG,26,PHI,6,0,21,3,5,.600,0,1,.000,3,4,.750,.600,2,2,1.000,0,3,3,2,2,0,1,3,8
136,Josh Minott,SF,20,MIN,1,0,6,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,0,0,0,2,1,1,1,0
137,Davion Mitchell,PG,24,SAC,7,0,140,19,46,.413,7,27,.259,12,19,.632,.489,5,6,.833,3,6,9,12,6,1,6,7,50
138,Donovan Mitchell,SG,26,CLE,5,5,207,45,104,.433,13,45,.289,32,59,.542,.495,13,18,.722,3,22,25,36,10,3,19,14,116
139,Evan Mobley,PF,21,CLE,5,5,188,22,48,.458,0,1,.000,22,47,.468,.458,5,8,.625,15,35,50,10,3,6,12,13,49
140,Malik Monk,SG,24,SAC,7,0,205,38,93,.409,13,39,.333,25,54,.463,.478,44,49,.898,6,32,38,25,5,3,14,15,133
141,Moses Moody,SG,20,GSW,12,0,161,23,43,.535,13,22,.591,10,21,.476,.686,11,12,.917,7,24,31,8,5,4,2,18,70
142,Wendell Moore Jr.,SG,21,MIN,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,1,0,0
143,Ja Morant,PG,23,MEM,5,5,187,45,106,.425,13,31,.419,32,75,.427,.486,20,26,.769,8,26,34,35,9,1,17,12,123
144,Marcus Morris,PF,33,LAC,3,2,68,10,29,.345,2,12,.167,8,17,.471,.379,4,4,1.000,1,11,12,0,1,1,1,6,26
145,Dejounte Murray,SG,26,ATL,5,5,190,46,103,.447,14,37,.378,32,66,.485,.515,9,9,1.000,9,27,36,34,10,1,10,7,115
146,Jamal Murray,PG,25,DEN,20,20,799,194,410,.473,59,149,.396,135,261,.517,.545,75,81,.926,15,98,113,142,30,5,50,41,522
147,Keegan Murray,SF,22,SAC,7,7,194,26,58,.448,12,32,.375,14,26,.538,.552,4,6,.667,15,29,44,5,4,2,4,18,68
148,Mike Muscala,C,31,BOS,6,0,21,2,4,.500,2,4,.500,0,0,,.750,3,4,.750,3,1,4,1,0,0,1,1,9
149,Raul Neto,PG,30,CLE,2,0,7,0,1,.000,0,1,.000,0,0,,.000,1,2,.500,0,0,0,1,0,0,2,2,1
150,Georges Niang,PF,29,PHI,11,0,157,18,36,.500,12,26,.462,6,10,.600,.667,0,0,,0,4,4,2,0,2,5,16,48
151,Zeke Nnaji,PF,22,DEN,5,0,12,2,4,.500,1,3,.333,1,1,1.000,.625,0,0,,0,2,2,0,1,0,1,0,5
152,Jaylen Nowell,SG,23,MIN,5,0,62,6,26,.231,3,9,.333,3,17,.176,.288,1,2,.500,4,1,5,3,0,0,2,4,16
153,Royce O'Neale,SF,29,BRK,4,0,118,7,29,.241,4,22,.182,3,7,.429,.310,2,2,1.000,4,13,17,14,5,1,4,11,20
154,Josh Okogie,SG,24,PHO,10,5,175,14,37,.378,2,14,.143,12,23,.522,.405,11,13,.846,12,9,21,13,6,2,3,18,41
155,Onyeka Okongwu,C,22,ATL,6,0,131,15,25,.600,1,1,1.000,14,24,.583,.620,5,10,.500,19,19,38,7,2,8,7,18,36
156,Isaac Okoro,SF,22,CLE,5,2,75,11,23,.478,4,13,.308,7,10,.700,.565,6,6,1.000,3,4,7,4,2,2,4,10,32
157,Victor Oladipo,SG,30,MIA,2,0,45,10,19,.526,2,5,.400,8,14,.571,.579,1,3,.333,1,6,7,2,2,1,2,5,23
158,Cedi Osman,SF,27,CLE,5,0,93,9,25,.360,6,20,.300,3,5,.600,.480,6,9,.667,1,14,15,5,2,1,5,12,30
159,Chris Paul,PG,37,PHO,7,7,250,38,91,.418,9,28,.321,29,63,.460,.467,2,4,.500,5,30,35,52,12,5,7,16,87
160,Cameron Payne,PG,28,PHO,7,4,152,23,48,.479,11,27,.407,12,21,.571,.594,0,3,.000,0,14,14,20,3,2,9,15,57
