Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
46,Anthony Edwards,SG,22,MIN,16,16,649,156,324,.481,46,115,.400,110,209,.526,.552,83,102,.814,18,94,112,104,24,9,52,37,441
47,Joel Embiid,C,29,PHI,6,6,248,59,133,.444,13,39,.333,46,94,.489,.492,67,78,.859,19,46,65,34,7,9,25,20,198
48,Drew Eubanks,C,26,PHO,3,0,37,7,12,.583,0,0,,7,12,.583,.583,3,3,1.000,0,4,4,0,2,1,2,6,17
49,Dante Exum,PG,28,DAL,21,0,144,16,44,.364,7,20,.350,9,24,.375,.443,4,6,.667,3,14,17,12,3,1,5,9,43
50,Markelle Fultz,PG,25,ORL,7,0,106,20,34,.588,0,1,.000,20,33,.606,.588,5,9,.556,7,7,14,8,3,0,8,12,45
51,Daniel Gafford,PF,25,DAL,22,22,445,78,123,.634,0,0,,78,123,.634,.634,41,65,.631,42,80,122,15,6,33,19,38,197
52,Danilo Gallinari,SF,35,MIL,3,0,37,4,8,.500,0,2,.000,4,6,.667,.500,3,4,.750,1,8,9,2,0,0,1,0,11
53,Darius Garland,PG,24,CLE,12,12,432,73,171,.427,25,71,.352,48,100,.480,.500,17,21,.810,1,42,43,69,13,2,27,33,188
54,Luka Garza,C,25,MIN,7,0,26,10,12,.833,2,3,.667,8,9,.889,.917,7,8,.875,2,4,6,1,0,0,0,0,29
55,Paul George,PF,33,LAC,6,6,222,39,95,.411,18,49,.367,21,46,.457,.505,21,25,.840,3,38,41,29,7,3,14,22,117
56,Josh Giddey,SG,21,OKC,10,8,181,34,75,.453,12,34,.353,22,41,.537,.533,7,8,.875,7,29,36,21,2,4,12,9,87
57,Shai Gilgeous-Alexander,PG,25,OKC,10,10,399,111,224,.496,16,37,.432,95,187,.508,.531,64,81,.790,8,64,72,64,13,17,22,31,302
58,Rudy Gobert,C,31,MIN,15,15,512,64,104,.615,0,0,,64,104,.615,.615,53,79,.671,40,107,147,24,14,15,23,55,181
59,Aaron Gordon,PF,28,DEN,12,12,445,69,118,.585,11,27,.407,58,91,.637,.631,23,28,.821,36,51,87,53,10,7,18,28,172
60,Eric Gordon,SG,35,PHO,4,0,118,9,28,.321,7,17,.412,2,11,.182,.446,7,8,.875,1,6,7,5,5,2,4,5,32
61,A.J. Green,SG,24,MIL,6,0,67,6,16,.375,2,11,.182,4,5,.800,.438,3,3,1.000,0,9,9,2,0,0,1,9,17
62,Josh Green,SG,23,DAL,22,0,399,36,85,.424,23,59,.390,13,26,.500,.559,14,19,.737,21,35,56,23,17,3,7,29,109
63,Rui Hachimura,PF,25,LAL,5,5,152,15,38,.395,5,14,.357,10,24,.417,.461,4,8,.500,6,13,19,4,0,0,2,8,39
64,Tyrese Haliburton,PG,23,IND,15,15,522,105,215,.488,53,140,.379,52,75,.693,.612,17,20,.850,12,60,72,123,19,10,31,14,280
65,Tim Hardaway Jr.,SF,31,DAL,14,0,178,22,58,.379,13,37,.351,9,21,.429,.491,4,8,.500,2,23,25,5,5,1,2,10,61
66,James Harden,PG,34,LAC,6,6,242,40,89,.449,18,47,.383,22,42,.524,.551,29,32,.906,3,24,27,48,6,6,14,13,127
67,Jaden Hardy,SG,21,DAL,19,0,129,29,68,.426,11,27,.407,18,41,.439,.507,11,15,.733,2,13,15,17,3,0,7,13,80
68,Gary Harris,SG,29,ORL,6,6,159,8,28,.286,7,22,.318,1,6,.167,.411,2,2,1.000,5,7,12,4,7,3,2,18,25
69,Tobias Harris,PF,31,PHI,6,6,218,22,51,.431,6,18,.333,16,33,.485,.490,4,4,1.000,9,34,43,9,1,3,3,11,54
70,Josh Hart,SF,28,NYK,13,13,548,66,150,.440,22,59,.373,44,91,.484,.513,35,48,.729,37,113,150,59,13,10,34,41,189
71,Isaiah Hartenstein,C,25,NYK,13,13,388,45,76,.592,1,2,.500,44,74,.595,.599,19,22,.864,49,53,102,46,4,12,19,41,110
72,Sam Hauser,SF,26,BOS,19,0,283,36,84,.429,27,71,.380,9,13,.692,.589,4,4,1.000,8,33,41,11,5,3,3,20,103
73,Jordan Hawkins,SG,21,NOP,3,0,12,0,4,.000,0,3,.000,0,1,.000,.000,0,0,,0,2,2,0,0,0,0,1,0
74,Jaxson Hayes,C,23,LAL,4,0,24,0,2,.000,0,0,,0,2,.000,.000,1,2,.500,3,9,12,1,0,0,2,7,1
75,Gordon Hayward,SF,33,OKC,7,0,46,0,3,.000,0,0,,0,3,.000,.000,0,0,,1,12,13,3,1,1,0,2,0
76,Tyler Herro,SG,24,MIA,5,5,185,30,78,.385,15,43,.349,15,35,.429,.481,9,10,.900,0,18,18,27,2,0,14,10,84
77,Buddy Hield,SG,31,PHI,4,0,51,7,17,.412,6,13,.462,1,4,.250,.588,2,2,1.000,2,3,5,2,0,1,2,4,22
78,Haywood Highsmith,PF,27,MIA,5,0,126,10,28,.357,3,16,.188,7,12,.583,.411,1,1,1.000,2,12,14,8,1,1,4,14,24
79,Jrue Holiday,PG,33,BOS,19,19,720,97,193,.503,35,87,.402,62,106,.585,.593,21,22,.955,37,79,116,83,21,12,29,40,250
80,Justin Holiday,SG,34,DEN,12,0,150,11,35,.314,11,29,.379,0,6,.000,.471,2,4,.500,1,19,20,4,6,0,3,16,35
81,Chet Holmgren,C,21,OKC,10,10,345,59,119,.496,13,50,.260,46,69,.667,.550,25,33,.758,14,58,72,21,7,25,19,26,156
82,Al Horford,C,37,BOS,19,15,575,66,138,.478,35,95,.368,31,43,.721,.605,7,11,.636,35,98,133,40,15,16,12,28,174
83,Caleb Houstan,SF,21,ORL,3,0,14,1,2,.500,1,2,.500,0,0,,.750,0,0,,1,1,2,0,0,0,0,0,3
84,Jett Howard,SF,20,ORL,2,0,10,2,3,.667,1,1,1.000,1,2,.500,.833,0,0,,0,1,1,1,0,0,2,1,5
85,Bones Hyland,PG,23,LAC,3,0,12,3,7,.429,1,5,.200,2,2,1.000,.500,4,4,1.000,0,2,2,4,0,0,1,0,11
86,Joe Ingles,SF,36,ORL,7,0,68,4,12,.333,2,7,.286,2,5,.400,.417,1,2,.500,2,11,13,12,3,0,0,3,11
87,Brandon Ingram,SF,26,NOP,4,4,145,19,55,.345,2,8,.250,17,47,.362,.364,17,19,.895,1,17,18,13,4,5,9,8,57
88,Kyrie Irving,SG,31,DAL,22,22,879,186,398,.467,53,136,.390,133,262,.508,.534,62,73,.849,22,59,81,113,23,7,51,62,487
89,Jonathan Isaac,PF,26,ORL,7,3,147,16,39,.410,10,27,.370,6,12,.500,.538,2,2,1.000,10,24,34,3,5,9,4,7,44
90,Andre Jackson Jr.,SG,22,MIL,5,0,60,5,11,.455,2,6,.333,3,5,.600,.545,0,0,,5,6,11,10,5,1,3,10,12
91,Isaiah Jackson,C,22,IND,15,0,154,23,43,.535,0,0,,23,43,.535,.535,11,18,.611,21,27,48,7,3,13,4,24,57
92,Reggie Jackson,PG,33,DEN,12,0,117,16,48,.333,8,23,.348,8,25,.320,.417,2,2,1.000,2,13,15,12,2,1,8,12,42
93,LeBron James,PF,39,LAL,5,5,204,56,99,.566,10,26,.385,46,73,.630,.616,17,23,.739,4,30,34,44,12,5,19,11,139
94,Jaime Jaquez Jr.,SF,22,MIA,4,4,123,21,52,.404,3,13,.231,18,39,.462,.433,6,7,.857,2,11,13,12,3,2,7,6,51
95,DaQuan Jeffries,SG,26,NYK,4,0,20,3,8,.375,2,5,.400,1,3,.333,.500,0,0,,1,3,4,0,1,0,0,2,8
96,Isaiah Joe,SG,24,OKC,10,2,173,24,54,.444,16,39,.410,8,15,.533,.593,0,0,,4,18,22,10,5,0,5,10,64
97,James Johnson,PF,36,IND,1,0,1,0,0,,0,0,,0,0,,,1,2,.500,0,0,0,0,0,0,1,0,1
98,Nikola JokiÄ,C,28,DEN,12,12,482,133,244,.545,14,53,.264,119,191,.623,.574,64,71,.901,43,118,161,104,17,8,40,32,344
99,Damian Jones,C,28,CLE,2,0,9,0,0,,0,0,,0,0,,,0,0,,1,1,2,2,0,1,2,0,0
100,Derrick Jones Jr.,SF,26,DAL,22,22,647,77,160,.481,24,65,.369,53,95,.558,.556,22,30,.733,33,43,76,27,11,21,18,54,200
101,Herbert Jones,SF,25,NOP,4,4,141,16,41,.390,8,24,.333,8,17,.471,.488,12,12,1.000,6,14,20,10,5,1,11,15,52
102,DeAndre Jordan,C,35,DEN,2,0,13,1,2,.500,0,0,,1,2,.500,.500,2,2,1.000,1,2,3,0,1,1,0,4,4
103,Nikola JoviÄ,PF,20,MIA,5,5,128,16,36,.444,9,22,.409,7,14,.500,.569,6,7,.857,2,31,33,11,5,3,6,9,47
104,Maxi Kleber,C,32,DAL,13,0,219,16,39,.410,12,28,.429,4,11,.364,.564,4,6,.667,4,21,25,13,3,4,5,20,48
105,Luke Kornet,C,28,BOS,13,0,133,14,21,.667,0,0,,14,21,.667,.667,11,13,.846,19,22,41,7,1,5,6,11,39
106,A.J. Lawson,SG,23,DAL,10,0,30,4,9,.444,2,6,.333,2,3,.667,.556,1,2,.500,1,2,3,0,0,1,0,1,11
107,Kawhi Leonard,SF,32,LAC,2,2,59,11,24,.458,0,5,.000,11,19,.579,.458,2,3,.667,3,13,16,4,4,1,4,3,24
108,Caris LeVert,SG,29,CLE,11,1,278,44,102,.431,6,33,.182,38,69,.551,.461,17,26,.654,8,32,40,25,9,6,14,14,111
109,E.J. Liddell,PF,23,NOP,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0
110,Damian Lillard,PG,33,MIL,4,4,156,34,81,.420,20,48,.417,14,33,.424,.543,37,38,.974,2,11,13,20,4,0,9,8,125
111,Nassir Little,SF,23,PHO,4,0,14,3,5,.600,1,3,.333,2,2,1.000,.700,0,0,,0,1,1,0,0,0,0,2,7
112,Dereck Lively II,C,19,DAL,21,0,462,64,95,.674,1,1,1.000,63,94,.670,.679,36,61,.590,57,99,156,27,9,20,21,48,165
113,Chris Livingston,SF,20,MIL,2,0,6,1,1,1.000,0,0,,1,1,1.000,1.000,0,3,.000,0,0,0,0,0,0,0,0,2
114,Brook Lopez,C,35,MIL,6,6,200,44,75,.587,10,23,.435,34,52,.654,.653,8,15,.533,11,15,26,11,0,8,9,10,106
115,Kevin Love,PF,35,MIA,5,0,32,4,9,.444,1,4,.250,3,5,.600,.500,0,0,,1,13,14,4,0,0,2,2,9
116,Kyle Lowry,PG,37,PHI,6,6,175,11,32,.344,8,24,.333,3,8,.375,.469,12,15,.800,6,15,21,24,6,4,4,23,42
117,Terance Mann,SG,27,LAC,6,6,187,19,46,.413,10,22,.455,9,24,.375,.522,8,8,1.000,17,13,30,11,0,0,5,19,56
118,Naji Marshall,SF,26,NOP,4,0,84,12,28,.429,6,15,.400,6,13,.462,.536,6,6,1.000,3,8,11,5,2,2,2,9,36
119,Caleb Martin,SF,28,MIA,5,5,176,21,45,.467,11,25,.440,10,20,.500,.589,5,5,1.000,5,13,18,7,3,0,3,14,58
120,Tyrese Maxey,PG,23,PHI,6,6,267,66,138,.478,22,55,.400,44,83,.530,.558,25,28,.893,1,30,31,41,5,2,13,16,179
121,Miles McBride,PG,23,NYK,13,2,347,54,124,.435,25,68,.368,29,56,.518,.536,10,12,.833,7,22,29,25,7,2,11,30,143
122,CJ McCollum,PG,32,NOP,4,4,148,31,74,.419,7,29,.241,24,45,.533,.466,2,2,1.000,2,17,19,19,7,3,16,14,71
123,T.J. McConnell,PG,31,IND,17,0,348,90,185,.486,7,26,.269,83,159,.522,.505,13,15,.867,11,41,52,86,15,2,21,26,200
124,Jaden McDaniels,SF,23,MIN,16,16,537,72,140,.514,24,56,.429,48,84,.571,.600,27,35,.771,28,33,61,18,14,18,17,54,195
125,Doug McDermott,SF,32,IND,10,0,64,5,11,.455,3,8,.375,2,3,.667,.591,0,0,,2,1,3,7,0,2,1,5,13
126,Jordan McLaughlin,PG,27,MIN,6,0,30,2,9,.222,0,5,.000,2,4,.500,.222,0,2,.000,0,4,4,2,0,0,2,1,4
127,De'Anthony Melton,SG,25,PHI,1,0,7,0,2,.000,0,2,.000,0,0,,.000,0,0,,0,1,1,1,0,0,0,1,0
128,Sam Merrill,SG,27,CLE,10,0,125,10,29,.345,10,27,.370,0,2,.000,.517,3,3,1.000,2,10,12,9,0,0,0,9,33
129,Khris Middleton,SF,32,MIL,6,6,230,55,114,.482,11,31,.355,44,83,.530,.531,27,30,.900,12,43,55,28,3,1,14,25,148
130,Leonard Miller,SF,20,MIN,3,0,7,0,1,.000,0,1,.000,0,0,,.000,0,0,,1,3,4,0,0,0,0,0,0
131,Patty Mills,PG,35,MIA,3,0,52,6,17,.353,3,11,.273,3,6,.500,.441,3,4,.750,1,0,1,3,1,0,1,2,18
132,Shake Milton,SG,27,NYK,4,0,22,0,6,.000,0,2,.000,0,4,.000,.000,5,6,.833,0,1,1,2,1,0,0,0,5
133,Josh Minott,SF,21,MIN,5,0,18,2,9,.222,2,5,.400,0,4,.000,.333,0,0,,1,4,5,3,0,0,0,2,6
134,Donovan Mitchell,SG,27,CLE,10,10,382,107,225,.476,29,82,.354,78,143,.545,.540,53,65,.815,6,48,54,47,13,3,28,29,296
135,Evan Mobley,PF,22,CLE,12,12,422,81,146,.555,5,18,.278,76,128,.594,.572,25,36,.694,30,81,111,28,10,26,22,34,192
136,Wendell Moore Jr.,SG,22,MIN,6,0,18,3,7,.429,1,4,.250,2,3,.667,.500,0,0,,0,2,2,2,1,0,1,3,7
137,Marcus Morris,PF,34,CLE,9,1,138,22,48,.458,9,23,.391,13,25,.520,.552,2,3,.667,2,23,25,3,4,0,3,8,55
138,Markieff Morris,PF,34,DAL,1,0,12,1,5,.200,1,3,.333,0,2,.000,.300,0,0,,0,4,4,0,0,0,1,1,3
139,Monte Morris,PG,28,MIN,9,0,67,9,30,.300,1,14,.071,8,16,.500,.317,2,2,1.000,1,5,6,9,2,1,0,6,21
140,Trey Murphy III,SF,23,NOP,4,4,168,18,48,.375,10,30,.333,8,18,.444,.479,0,0,,3,23,26,9,5,6,8,12,46
141,Jamal Murray,PG,26,DEN,12,12,462,100,249,.402,23,73,.315,77,176,.438,.448,24,26,.923,9,43,52,67,10,6,31,28,247
142,Svi Mykhailiuk,SF,26,BOS,8,0,32,3,12,.250,2,9,.222,1,3,.333,.333,0,0,,1,4,5,1,1,0,2,3,8
143,Larry Nance Jr.,C,31,NOP,4,0,84,10,17,.588,1,4,.250,9,13,.692,.618,4,6,.667,15,18,33,7,2,0,7,9,25
144,Andrew Nembhard,PG,24,IND,17,17,554,102,182,.560,29,60,.483,73,122,.598,.640,20,26,.769,14,42,56,94,6,4,23,56,253
145,Aaron Nesmith,SF,24,IND,17,17,559,61,141,.433,22,79,.278,39,62,.629,.511,34,37,.919,19,65,84,37,11,9,23,66,178
146,Georges Niang,PF,30,CLE,10,0,121,9,41,.220,3,23,.130,6,18,.333,.256,7,8,.875,3,9,12,4,4,2,7,18,28
147,Zeke Nnaji,PF,23,DEN,3,0,14,2,3,.667,0,0,,2,3,.667,.667,1,2,.500,2,0,2,0,0,1,2,1,5
148,Jusuf NurkiÄ,C,29,PHO,4,4,104,13,26,.500,0,2,.000,13,24,.542,.500,5,11,.455,13,20,33,11,6,6,6,15,31
149,Royce O'Neale,SF,30,PHO,4,2,104,7,22,.318,6,18,.333,1,4,.250,.455,0,0,,5,14,19,4,1,0,2,11,20
150,Chuma Okeke,SF,25,ORL,2,0,10,2,3,.667,1,2,.500,1,1,1.000,.833,1,1,1.000,0,0,0,1,0,0,0,0,6
151,Josh Okogie,SG,25,PHO,4,0,29,5,9,.556,1,3,.333,4,6,.667,.611,3,6,.500,0,4,4,2,2,0,2,7,14
152,Isaac Okoro,SF,23,CLE,12,7,263,25,70,.357,9,35,.257,16,35,.457,.421,7,9,.778,5,16,21,13,11,4,11,30,66
153,Kelly Oubre Jr.,SF,28,PHI,6,6,224,31,64,.484,9,23,.391,22,41,.537,.555,8,11,.727,9,15,24,10,11,7,8,24,79
154,Cameron Payne,PG,29,PHI,5,0,61,10,25,.400,8,18,.444,2,7,.286,.560,0,0,,0,6,6,7,1,4,3,10,28
155,Jalen Pickett,SG,24,DEN,3,0,11,2,3,.667,0,1,.000,2,2,1.000,.667,0,0,,0,1,1,1,0,1,0,1,4
156,Mason Plumlee,C,33,LAC,6,0,66,7,18,.389,0,0,,7,18,.389,.389,5,8,.625,7,13,20,4,3,2,2,13,19
157,Michael Porter Jr.,SF,25,DEN,12,12,443,68,146,.466,33,81,.407,35,65,.538,.579,20,26,.769,8,74,82,13,11,10,18,27,189
158,Bobby Portis,PF,28,MIL,6,6,187,44,91,.484,3,12,.250,41,79,.519,.500,8,13,.615,16,52,68,6,3,1,9,13,99
159,Kristaps PorziÅÄ£is,C,28,BOS,7,4,165,28,60,.467,10,29,.345,18,31,.581,.550,20,22,.909,4,27,31,8,5,11,5,15,86
160,Dwight Powell,C,32,DAL,13,0,44,1,3,.333,0,0,,1,3,.333,.333,4,6,.667,3,9,12,3,1,0,3,9,6
161,Norman Powell,SG,30,LAC,6,0,179,26,61,.426,13,29,.448,13,32,.406,.533,12,15,.800,3,14,17,2,3,0,7,20,77
162,Taurean Prince,PF,29,LAL,5,0,111,12,29,.414,5,17,.294,7,12,.583,.500,8,8,1.000,1,11,12,3,1,2,1,9,37
163,Payton Pritchard,PG,26,BOS,19,0,355,44,105,.419,23,60,.383,21,45,.467,.529,11,12,.917,14,23,37,40,4,0,14,22,122
164,Olivier-Maxence Prosper,PF,21,DAL,3,0,9,0,2,.000,0,0,,0,2,.000,.000,0,0,,0,3,3,1,0,0,0,0,0
165,Neemias Queta,C,24,BOS,3,0,13,2,3,.667,0,0,,2,3,.667,.667,0,0,,1,2,3,0,0,1,0,0,4
166,Austin Reaves,SG,25,LAL,5,5,174,30,63,.476,7,26,.269,23,37,.622,.532,17,19,.895,5,14,19,18,7,3,4,8,84
167,Paul Reed,C,24,PHI,6,0,43,4,9,.444,0,0,,4,9,.444,.444,1,2,.500,9,7,16,2,1,3,3,7,9
168,Naz Reid,PF,24,MIN,16,0,361,65,142,.458,25,69,.362,40,73,.548,.546,22,31,.710,9,50,59,16,8,12,14,32,177
169,Duncan Robinson,SF,29,MIA,5,0,60,5,16,.313,3,13,.231,2,3,.667,.406,0,0,,0,5,5,6,2,0,5,6,13
170,Mitchell Robinson,C,25,NYK,6,0,115,7,14,.500,0,0,,7,14,.500,.500,3,8,.375,23,18,41,3,6,7,3,15,17
171,Orlando Robinson,C,23,MIA,1,0,2,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,1,1,1,0,0,0,0,0
172,Jeremiah Robinson-Earl,PF,23,NOP,1,0,5,1,2,.500,0,0,,1,2,.500,.500,0,2,.000,1,0,1,1,0,0,0,0,2
173,David Roddy,PF,22,PHO,2,0,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
174,D'Angelo Russell,PG,27,LAL,5,5,185,28,73,.384,14,44,.318,14,29,.483,.479,1,2,.500,1,13,14,21,4,1,9,6,71
175,Matt Ryan,SF,26,NOP,1,0,3,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,1,1,0,1,0,1,0,0
176,Ben Sheppard,SG,22,IND,17,2,335,31,71,.437,19,50,.380,12,21,.571,.570,7,9,.778,10,41,51,17,8,1,11,32,88
177,Pascal Siakam,PF,29,IND,17,17,603,157,290,.541,14,47,.298,143,243,.588,.566,39,63,.619,42,86,128,64,13,7,19,48,367
178,Jericho Sims,C,25,NYK,5,0,27,2,2,1.000,0,0,,2,2,1.000,1.000,3,4,.750,3,5,8,1,2,1,0,1,7
179,Jalen Smith,C,23,IND,7,0,42,3,8,.375,2,4,.500,1,4,.250,.500,5,8,.625,7,7,14,2,2,1,4,8,13
180,Jaden Springer,SG,21,BOS,4,0,22,2,3,.667,0,0,,2,3,.667,.667,0,0,,0,3,3,1,0,1,2,1,4
181,Julian Strawther,SF,21,DEN,3,0,16,2,6,.333,1,4,.250,1,2,.500,.417,2,4,.500,0,2,2,0,1,0,1,3,7
182,Max Strus,SF,27,CLE,12,12,434,42,103,.408,25,72,.347,17,31,.548,.529,5,5,1.000,8,56,64,35,9,0,15,41,114
183,Jalen Suggs,SG,22,ORL,7,7,232,33,82,.402,14,48,.292,19,34,.559,.488,23,30,.767,11,25,36,23,9,3,20,18,103
184,Jayson Tatum,PF,25,BOS,19,19,768,159,372,.427,39,138,.283,120,234,.513,.480,118,137,.861,17,167,184,119,20,13,50,54,475
185,Daniel Theis,C,31,LAC,1,0,4,1,1,1.000,1,1,1.000,0,0,,1.500,0,0,,0,1,1,0,0,0,0,0,3
186,Isaiah Thomas,PG,34,PHO,1,0,4,0,2,.000,0,1,.000,0,1,.000,.000,0,0,,0,0,0,0,0,0,1,0,0
