Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,1/2 Court,1/2 Court,Unnamed: 30_level_0
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards
40.0,P.J. Washington,24.0,CHO,PF,73.0,73.0,2380.0,0.444,14.8,0.562,0.198,0.242,0.06,0.061,0.438,0.518,0.691,0.451,0.424,0.317,0.348,0.74,0.919,0.05,45.0,0.22,0.351,1.0,0.0,
41.0,Jalen Brunson,26.0,NYK,PG,68.0,68.0,2379.0,0.491,12.9,0.731,0.149,0.331,0.172,0.079,0.269,0.519,0.612,0.504,0.471,0.511,0.416,0.166,0.575,0.002,2.0,0.205,0.424,0.0,0.0,"MVP-12,CPOY-4"
42.0,Brook Lopez,34.0,MIL,C,78.0,78.0,2373.0,0.531,14.0,0.595,0.281,0.17,0.108,0.036,0.405,0.637,0.771,0.569,0.485,0.375,0.374,0.745,0.971,0.087,71.0,0.198,0.403,0.0,0.0,"DPOY-2,DEF1"
43.0,Josh Giddey,20.0,OKC,PF,76.0,76.0,2367.0,0.482,9.6,0.791,0.301,0.381,0.089,0.021,0.209,0.524,0.646,0.455,0.455,0.304,0.325,0.363,0.934,0.011,12.0,0.128,0.4,1.0,0.0,
44.0,Reggie Bullock,31.0,DAL,SF,78.0,55.0,2364.0,0.409,21.7,0.155,0.077,0.04,0.019,0.019,0.845,0.562,0.75,0.421,0.444,0.222,0.38,0.854,0.98,0.002,1.0,0.491,0.451,0.0,0.0,
45.0,Immanuel Quickley,23.0,NYK,SG,81.0,21.0,2344.0,0.448,16.5,0.515,0.127,0.205,0.127,0.056,0.485,0.521,0.681,0.5,0.471,0.346,0.37,0.263,0.72,0.009,8.0,0.271,0.366,1.0,0.0,6MOY-2
46.0,Tyler Herro,23.0,MIA,SG,67.0,67.0,2337.0,0.439,17.1,0.516,0.093,0.189,0.152,0.076,0.484,0.497,0.699,0.486,0.462,0.357,0.378,0.387,0.69,0.012,13.0,0.168,0.444,2.0,0.0,
47.0,Patrick Williams,21.0,CHI,PF,82.0,65.0,2323.0,0.464,14.6,0.591,0.258,0.112,0.12,0.1,0.409,0.498,0.64,0.316,0.432,0.412,0.415,0.633,0.983,0.118,59.0,0.39,0.463,0.0,0.0,
48.0,Nikola JokiÄ,27.0,DEN,C,69.0,69.0,2323.0,0.632,8.6,0.854,0.303,0.414,0.092,0.038,0.146,0.675,0.784,0.643,0.5,0.59,0.383,0.603,0.825,0.022,21.0,0.027,0.25,2.0,0.0,"MVP-2,CPOY-13,AS,NBA2"
49.0,Derrick White,28.0,BOS,SG,82.0,70.0,2319.0,0.462,15.9,0.484,0.156,0.214,0.079,0.024,0.516,0.548,0.72,0.469,0.517,0.333,0.381,0.502,0.886,0.018,11.0,0.284,0.387,0.0,0.0,DEF2
50.0,Jaden Ivey,20.0,DET,SG,74.0,73.0,2304.0,0.416,13.8,0.644,0.242,0.211,0.097,0.087,0.356,0.457,0.584,0.333,0.411,0.442,0.343,0.239,0.733,0.033,28.0,0.117,0.366,2.0,0.0,ROY-6
51.0,D'Angelo Russell,26.0,2TM,PG,71.0,71.0,2304.0,0.469,17.2,0.483,0.129,0.137,0.133,0.084,0.517,0.548,0.721,0.492,0.484,0.475,0.396,0.315,0.68,0.0,0.0,0.102,0.4,0.0,0.0,
51.0,D'Angelo Russell,26.0,MIN,PG,54.0,54.0,1778.0,0.465,17.8,0.479,0.118,0.124,0.147,0.089,0.521,0.546,0.698,0.511,0.477,0.508,0.391,0.311,0.649,0.0,0.0,0.113,0.349,0.0,0.0,
51.0,D'Angelo Russell,26.0,LAL,PG,17.0,17.0,526.0,0.484,16.6,0.498,0.163,0.181,0.086,0.068,0.502,0.555,0.778,0.45,0.526,0.333,0.414,0.328,0.783,0.0,0.0,0.063,0.714,0.0,0.0,
52.0,Draymond Green,32.0,GSW,PF,73.0,73.0,2297.0,0.527,10.3,0.724,0.297,0.363,0.04,0.023,0.276,0.612,0.709,0.57,0.474,0.273,0.305,0.852,1.0,0.051,21.0,0.298,0.308,2.0,0.0,"DPOY-4,DEF2"
53.0,KJ Martin,22.0,HOU,SF,82.0,49.0,2292.0,0.569,9.7,0.7,0.417,0.281,0.003,0.0,0.3,0.679,0.807,0.49,0.5,,0.315,0.772,1.0,0.275,173.0,0.236,0.353,0.0,0.0,
