Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
453.0,Danny Green,35.0,CLE,SG,8.0,0.0,95.0,10.0,20.1,0.5,6.9,15.3,0.448,3.2,4.8,0.667,0.671,0.5,0.5,1.0,1.1,4.2,5.3,2.1,2.6,1.6,3.7,5.3,27.5,111.0,109.0,
454.0,Jarrett Culver,23.0,ATL,SF,10.0,1.0,137.0,5.9,15.0,0.395,0.3,4.2,0.083,5.6,10.8,0.516,0.407,3.1,4.5,0.692,3.5,9.7,13.2,2.1,2.1,0.7,2.4,4.9,15.3,96.0,113.0,
455.0,Quenton Jackson,24.0,WAS,PG,9.0,0.0,135.0,6.9,15.2,0.452,0.4,4.3,0.083,6.5,10.8,0.6,0.464,6.1,7.9,0.773,0.7,2.2,2.9,5.4,1.4,0.4,1.4,3.6,20.2,117.0,119.0,
456.0,Cody Martin,27.0,CHO,SF,7.0,0.0,134.0,5.0,12.8,0.389,1.1,5.0,0.214,3.9,7.8,0.5,0.431,1.4,2.5,0.571,2.8,5.7,8.5,3.9,1.4,0.4,0.7,4.6,12.4,108.0,117.0,
457.0,Jeenathan Williams,23.0,POR,SG,5.0,4.0,127.0,9.2,15.0,0.615,1.2,3.1,0.375,8.1,11.9,0.677,0.654,0.8,1.2,0.667,3.8,1.9,5.8,3.8,1.2,0.8,1.5,5.0,20.3,132.0,122.0,
458.0,Xavier Cooks,27.0,WAS,PF,10.0,1.0,126.0,6.6,10.8,0.607,0.0,0.4,0.0,6.6,10.4,0.63,0.607,1.5,3.9,0.4,6.2,8.5,14.7,2.3,2.3,1.5,3.1,5.0,14.7,113.0,112.0,
459.0,Jason Preston,23.0,LAC,PG,14.0,0.0,124.0,7.1,16.2,0.439,2.0,7.1,0.278,5.1,9.1,0.565,0.5,0.0,0.8,0.0,0.8,7.9,8.7,10.7,0.8,0.0,4.0,2.8,16.2,102.0,117.0,
460.0,Jonathan Isaac,25.0,ORL,PF,11.0,0.0,124.0,8.6,20.7,0.415,2.3,5.8,0.4,6.2,14.8,0.421,0.472,1.9,3.5,0.556,5.8,11.3,17.2,2.3,5.5,1.6,1.6,1.9,21.4,108.0,102.0,
461.0,Shaquille Harrison,29.0,POR,SG,5.0,0.0,120.0,6.1,14.6,0.417,1.2,4.1,0.3,4.9,10.6,0.462,0.458,4.5,6.1,0.733,0.4,8.5,8.9,12.2,4.5,0.8,2.4,4.9,17.9,118.0,111.0,
462.0,Meyers Leonard,30.0,MIL,C,9.0,2.0,114.0,5.9,12.1,0.483,2.9,7.5,0.389,2.9,4.6,0.636,0.603,3.4,3.8,0.889,5.0,9.2,14.2,0.4,0.8,0.0,2.5,6.7,18.0,123.0,113.0,
463.0,Olivier Sarr,23.0,OKC,C,9.0,1.0,114.0,6.2,12.5,0.5,0.4,3.3,0.125,5.8,9.2,0.636,0.517,2.1,2.9,0.714,5.0,7.9,12.9,1.7,0.4,2.1,1.7,7.1,15.0,116.0,114.0,
464.0,Andre Iguodala,39.0,GSW,PF,8.0,0.0,113.0,2.9,6.3,0.467,0.4,3.8,0.111,2.5,2.5,1.0,0.5,0.8,1.3,0.667,1.3,5.9,7.1,7.9,1.7,1.3,3.8,4.6,7.1,102.0,114.0,
465.0,Daniel Theis,30.0,IND,C,7.0,1.0,109.0,9.1,19.2,0.477,0.9,4.8,0.182,8.3,14.4,0.576,0.5,2.2,5.2,0.417,3.0,6.5,9.6,3.9,0.9,2.6,1.3,3.0,21.3,108.0,118.0,
466.0,A.J. Lawson,22.0,2TM,SG,15.0,0.0,108.0,10.1,20.2,0.5,4.6,11.5,0.4,5.5,8.7,0.632,0.614,0.9,3.7,0.25,2.8,6.9,9.7,0.9,0.9,0.0,1.4,5.1,25.8,112.0,118.0,
466.0,A.J. Lawson,22.0,MIN,SG,1.0,0.0,2.0,23.8,23.8,1.0,0.0,0.0,,23.8,23.8,1.0,1.0,0.0,0.0,,0.0,23.8,23.8,0.0,0.0,0.0,0.0,23.8,47.5,200.0,107.0,
466.0,A.J. Lawson,22.0,DAL,SG,14.0,0.0,106.0,9.8,20.2,0.488,4.7,11.7,0.4,5.2,8.4,0.611,0.605,0.9,3.8,0.25,2.8,6.6,9.4,0.9,0.9,0.0,1.4,4.7,25.3,111.0,119.0,
467.0,Justin Jackson,27.0,BOS,SF,23.0,0.0,107.0,3.2,12.3,0.259,2.3,9.1,0.25,0.9,3.2,0.286,0.352,0.5,0.9,0.5,0.9,6.8,7.7,4.1,1.8,1.8,0.9,3.2,9.1,89.0,110.0,
468.0,Vince Williams Jr.,22.0,MEM,SG,15.0,1.0,105.0,5.4,18.1,0.3,1.8,12.7,0.143,3.6,5.4,0.667,0.35,0.9,0.9,1.0,1.8,5.0,6.8,1.8,2.7,0.9,2.3,5.4,13.6,79.0,110.0,
469.0,Josh Minott,20.0,MIN,SF,15.0,0.0,96.0,8.9,17.8,0.5,1.0,3.0,0.333,7.9,14.8,0.533,0.528,4.0,4.0,1.0,2.5,9.9,12.4,2.5,2.0,3.0,1.5,4.9,22.8,119.0,109.0,
470.0,Jay Huff,24.0,WAS,C,7.0,0.0,95.0,7.7,12.8,0.6,3.1,6.2,0.5,4.6,6.7,0.692,0.72,7.7,8.2,0.938,3.1,7.7,10.8,5.1,1.5,2.1,2.6,7.7,26.1,149.0,114.0,
471.0,Greg Brown III,21.0,POR,PF,16.0,0.0,93.0,5.8,14.7,0.393,0.5,3.7,0.143,5.2,11.0,0.476,0.411,2.6,6.3,0.417,1.0,8.9,10.0,1.6,2.1,2.6,3.1,6.8,14.7,79.0,114.0,
472.0,Joshua Primo,20.0,SAS,SG,4.0,0.0,93.0,4.6,13.2,0.346,1.5,6.1,0.25,3.0,7.1,0.429,0.404,3.6,4.6,0.778,1.0,5.6,6.6,9.1,0.5,1.0,5.6,4.1,14.2,90.0,122.0,
473.0,Buddy Boeheim,23.0,DET,SF,10.0,0.0,90.0,2.7,14.5,0.185,2.2,13.5,0.16,0.5,1.1,0.5,0.259,1.1,1.1,1.0,1.1,2.2,3.2,2.2,1.1,0.0,0.0,3.2,8.6,77.0,123.0,
474.0,Jaden Springer,20.0,PHI,SG,16.0,2.0,89.0,9.5,19.5,0.486,1.1,2.8,0.4,8.4,16.7,0.5,0.514,3.3,4.5,0.75,3.3,4.5,7.8,4.5,3.9,1.7,1.7,8.4,23.4,116.0,108.0,
475.0,Justin Minaya,23.0,POR,SF,4.0,0.0,89.0,3.8,12.6,0.304,1.6,6.6,0.25,2.2,6.0,0.364,0.37,0.0,0.5,0.0,1.6,6.6,8.2,2.2,1.1,2.7,2.2,4.9,9.3,77.0,117.0,
476.0,Lindell Wigginton,24.0,MIL,PG,7.0,1.0,87.0,9.9,20.3,0.486,3.3,9.9,0.333,6.6,10.4,0.632,0.568,4.4,4.9,0.889,0.0,3.8,3.8,7.7,0.0,1.1,6.6,3.8,27.4,104.0,117.0,
477.0,Isaiah Mobley,23.0,CLE,PF,12.0,0.0,84.0,7.2,16.7,0.429,1.8,4.8,0.375,5.4,11.9,0.45,0.482,2.4,2.4,1.0,2.4,9.6,11.9,1.8,2.4,1.8,0.6,4.8,18.5,114.0,106.0,
478.0,Jordan Hall,21.0,SAS,SF,9.0,0.0,83.0,5.1,15.9,0.321,1.7,8.5,0.2,3.4,7.4,0.462,0.375,4.0,5.1,0.778,1.7,5.1,6.8,6.3,0.6,0.0,4.0,3.4,15.9,91.0,124.0,
479.0,Omer Yurtseven,24.0,MIA,C,9.0,0.0,83.0,9.6,16.2,0.593,1.8,4.2,0.429,7.8,12.0,0.65,0.648,3.0,3.6,0.833,4.8,9.0,13.8,1.2,1.2,1.2,2.4,9.6,24.0,126.0,112.0,
480.0,PJ Dozier,26.0,SAC,SF,16.0,0.0,79.0,6.1,20.0,0.303,1.2,9.7,0.125,4.8,10.3,0.471,0.333,0.0,0.0,,0.6,7.9,8.5,6.1,3.6,0.6,3.0,4.2,13.3,76.0,111.0,
481.0,Jared Butler,22.0,OKC,PG,6.0,1.0,77.0,9.3,19.7,0.469,4.3,8.6,0.5,4.9,11.1,0.444,0.578,0.0,0.0,,0.6,1.9,2.5,4.9,3.1,0.0,3.1,3.1,22.8,108.0,115.0,
482.0,Keon Ellis,23.0,SAC,SG,16.0,0.0,71.0,4.7,10.8,0.438,4.0,8.1,0.5,0.7,2.7,0.25,0.625,2.7,4.7,0.571,2.7,2.7,5.4,4.0,3.4,0.7,0.7,6.7,16.2,138.0,114.0,
483.0,Udonis Haslem,42.0,MIA,C,7.0,1.0,71.0,7.0,20.4,0.345,2.1,6.3,0.333,4.9,14.0,0.35,0.397,2.8,3.5,0.8,2.8,4.9,7.7,0.0,0.7,1.4,0.7,7.7,19.0,94.0,115.0,
484.0,Jamaree Bouyea,23.0,2TM,PG,5.0,0.0,71.0,4.2,9.8,0.429,1.4,4.2,0.333,2.8,5.6,0.5,0.5,0.7,1.4,0.5,0.7,3.5,4.2,2.8,2.8,1.4,2.8,4.2,10.5,89.0,112.0,
484.0,Jamaree Bouyea,23.0,MIA,PG,4.0,0.0,65.0,4.6,10.0,0.462,1.5,3.8,0.4,3.1,6.1,0.5,0.538,0.8,1.5,0.5,0.8,3.1,3.8,3.1,3.1,1.5,3.1,3.8,11.5,93.0,111.0,
484.0,Jamaree Bouyea,23.0,WAS,PG,1.0,0.0,6.0,0.0,8.1,0.0,0.0,8.1,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,8.1,8.1,0.0,0.0,0.0,0.0,8.1,0.0,0.0,119.0,
485.0,Trevelin Queen,25.0,IND,SG,7.0,0.0,70.0,4.7,19.7,0.241,1.4,10.2,0.133,3.4,9.5,0.357,0.276,3.4,3.4,1.0,5.4,6.1,11.5,4.1,1.4,3.4,4.7,2.7,14.2,78.0,116.0,
486.0,Leandro Bolmaro,22.0,UTA,SF,14.0,0.0,68.0,2.1,14.0,0.15,0.0,2.8,0.0,2.1,11.2,0.188,0.15,0.0,0.0,,2.8,2.1,4.9,4.9,2.1,0.7,4.9,7.0,4.2,50.0,118.0,
487.0,Jack White,25.0,DEN,SF,17.0,0.0,66.0,5.9,14.1,0.421,2.2,6.7,0.333,3.7,7.4,0.5,0.5,1.5,2.2,0.667,4.4,8.2,12.6,3.0,2.2,1.5,1.5,6.7,15.6,115.0,111.0,
488.0,Tyrese Martin,23.0,ATL,SG,16.0,0.0,66.0,6.5,16.6,0.391,0.7,5.1,0.143,5.8,11.6,0.5,0.413,1.4,1.4,1.0,3.6,5.1,8.7,1.4,0.7,0.0,1.4,1.4,15.2,98.0,120.0,
489.0,JD Davison,20.0,BOS,SG,12.0,0.0,66.0,5.9,14.0,0.421,1.5,5.2,0.286,4.4,8.9,0.5,0.474,0.7,1.5,0.5,1.5,5.2,6.6,8.1,1.5,1.5,3.0,3.7,14.0,104.0,112.0,
490.0,Ryan Rollins,20.0,GSW,PG,12.0,0.0,62.0,5.3,15.2,0.35,2.3,6.9,0.333,3.0,8.4,0.364,0.425,4.6,4.6,1.0,2.3,6.9,9.1,4.6,0.8,0.8,12.2,7.6,17.5,70.0,116.0,
491.0,Isaiah Todd,21.0,WAS,PF,6.0,1.0,61.0,2.4,15.2,0.158,0.8,8.0,0.1,1.6,7.2,0.222,0.184,1.6,1.6,1.0,1.6,8.0,9.6,3.2,0.8,0.0,1.6,3.2,7.2,62.0,118.0,
492.0,Sam Merrill,26.0,CLE,SG,5.0,0.0,59.0,7.7,18.7,0.409,4.3,15.3,0.278,3.4,3.4,1.0,0.523,1.7,1.7,1.0,0.0,7.7,7.7,4.3,3.4,0.0,0.0,2.6,21.3,121.0,107.0,
493.0,Carlik Jones,25.0,CHI,PG,7.0,0.0,56.0,5.2,13.0,0.4,2.6,5.2,0.5,2.6,7.8,0.333,0.5,4.3,7.0,0.625,0.9,3.5,4.3,5.2,1.7,0.0,1.7,1.7,17.4,112.0,115.0,
