Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
442.0,Skylar Mays,24.0,ATL,SG,28.0,5.0,220.0,5.2,10.5,0.5,1.3,4.1,0.32,3.9,6.4,0.615,0.563,1.3,1.5,0.889,0.8,3.3,4.1,2.8,1.1,0.0,1.6,1.5,13.1,
443.0,Georgios Kalaitzakis,23.0,2TM,SF,13.0,4.0,214.0,5.2,11.3,0.463,1.7,4.4,0.385,3.5,6.9,0.512,0.537,2.4,5.0,0.467,1.0,2.5,3.5,2.0,1.9,0.3,3.4,3.2,14.5,
443.0,Georgios Kalaitzakis,23.0,MIL,SF,9.0,0.0,48.0,3.7,8.2,0.455,1.5,3.0,0.5,2.3,5.2,0.429,0.545,3.0,6.8,0.444,3.0,3.0,6.0,0.0,0.7,0.7,3.0,6.0,12.0,
443.0,Georgios Kalaitzakis,23.0,OKC,SF,4.0,4.0,166.0,5.6,12.1,0.464,1.7,4.8,0.364,3.9,7.4,0.529,0.536,2.2,4.6,0.476,0.4,2.4,2.8,2.6,2.2,0.2,3.5,2.4,15.2,
444.0,Malcolm Hill,26.0,2TM,SG,19.0,0.0,212.0,4.1,8.8,0.462,2.2,6.1,0.361,1.9,2.7,0.688,0.587,1.9,2.4,0.786,1.9,4.1,5.9,1.4,1.2,0.5,0.5,4.1,12.2,
444.0,Malcolm Hill,26.0,ATL,SG,3.0,0.0,46.0,3.9,6.3,0.625,2.3,3.9,0.6,1.6,2.3,0.667,0.813,3.1,3.1,1.0,1.6,3.1,4.7,0.8,3.1,0.8,0.0,5.5,13.3,
444.0,Malcolm Hill,26.0,CHI,SF,16.0,0.0,166.0,4.1,9.5,0.432,2.2,6.7,0.323,2.0,2.8,0.692,0.545,1.5,2.2,0.7,2.0,4.3,6.3,1.5,0.7,0.4,0.7,3.7,11.9,
445.0,Tim Frazier,31.0,2TM,PG,12.0,3.0,208.0,2.4,7.8,0.311,1.0,2.9,0.353,1.4,4.8,0.286,0.378,0.9,1.6,0.556,0.9,2.4,3.3,5.9,0.5,0.2,2.6,4.7,6.8,
445.0,Tim Frazier,31.0,ORL,PG,10.0,3.0,200.0,2.3,7.7,0.302,1.1,3.1,0.353,1.3,4.7,0.269,0.372,0.9,1.6,0.556,0.9,2.5,3.4,5.9,0.5,0.2,2.3,4.3,6.7,
445.0,Tim Frazier,31.0,CLE,PG,2.0,0.0,8.0,4.5,9.0,0.5,0.0,0.0,,4.5,9.0,0.5,0.5,0.0,0.0,,0.0,0.0,0.0,4.5,0.0,0.0,9.0,13.5,9.0,
446.0,Alfonzo McKinnie,29.0,CHI,SF,17.0,3.0,206.0,4.2,10.7,0.393,1.6,4.7,0.333,2.6,5.9,0.441,0.467,0.3,1.4,0.25,2.3,3.5,5.8,0.9,0.3,0.5,1.2,4.5,10.3,
447.0,Joe Wieskamp,22.0,SAS,SG,29.0,0.0,205.0,3.5,9.8,0.357,2.5,7.6,0.326,1.1,2.3,0.462,0.482,1.2,2.3,0.538,0.7,1.8,2.5,1.6,0.7,0.5,0.4,2.5,10.7,
448.0,Ed Davis,32.0,CLE,C,31.0,3.0,201.0,2.0,2.9,0.688,0.0,0.0,,2.0,2.9,0.688,0.688,1.1,2.5,0.429,2.5,9.0,11.5,1.3,0.5,1.6,0.9,5.9,5.0,
449.0,Tyler Cook,24.0,CHI,PF,20.0,2.0,200.0,4.1,6.8,0.605,0.0,0.0,,4.1,6.8,0.605,0.605,3.8,5.8,0.656,2.9,6.7,9.5,0.5,0.7,0.7,1.3,5.0,12.1,
450.0,Javonte Smart,22.0,2TM,PG,17.0,1.0,200.0,3.4,10.8,0.317,1.4,4.9,0.296,2.0,5.9,0.333,0.383,0.9,1.1,0.833,0.9,3.4,4.3,2.9,1.1,0.5,2.0,2.2,9.2,
450.0,Javonte Smart,22.0,MIL,PG,13.0,1.0,160.0,2.5,9.7,0.256,0.9,4.1,0.222,1.6,5.6,0.28,0.302,1.1,1.4,0.833,0.9,3.4,4.3,3.2,0.9,0.5,2.0,2.5,7.0,
450.0,Javonte Smart,22.0,MIA,PG,4.0,0.0,40.0,7.2,15.3,0.471,3.6,8.1,0.444,3.6,7.2,0.5,0.588,0.0,0.0,,0.9,3.6,4.5,1.8,1.8,0.9,1.8,0.9,18.0,
451.0,Lindell Wigginton,23.0,MIL,PG,19.0,0.0,199.0,4.7,11.0,0.426,1.6,4.7,0.346,3.1,6.3,0.486,0.5,3.4,6.3,0.543,0.5,4.0,4.5,4.2,0.9,0.2,2.2,3.1,14.5,
