Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
102,Xavier Sneed,"Dec 31, '21, MEM vs. SAS",24,2,13,87,7,20,4,14,4,4,2,11,6,0,1,3,9,22,.350,.286,1.000,6.7,1.7,0.8,0.5,0.0,0.1
103,Jaden Springer,"Oct 20, '21, PHI @ NOP",19,4,110,967,112,274,24,101,68,88,57,152,85,67,24,54,123,316,.409,.238,.773,8.8,2.9,1.4,0.8,0.6,0.2
104,Jalen Suggs,"Oct 20, '21, ORL @ SAS",20,5,222,5833,963,2276,355,1077,455,579,159,746,750,301,130,504,604,2736,.423,.330,.786,26.3,12.3,3.4,3.4,1.4,0.6
105,Craig Sword,"Dec 28, '21, WAS @ MIA",28,1,3,19,3,4,0,1,0,0,0,0,1,4,0,1,7,6,.750,.000,,6.3,2.0,0.0,0.3,1.3,0.0
106,Keifer Sykes,"Dec 29, '21, IND vs. CHO",28,1,32,566,69,190,27,90,15,17,8,45,62,12,4,33,51,180,.363,.300,.882,17.7,5.6,1.4,1.9,0.4,0.1
107,Terry Taylor,"Jan 5, '22, IND vs. BRK",22,4,98,1172,194,335,19,66,46,67,140,257,63,22,16,39,104,453,.579,.288,.687,12.0,4.6,2.6,0.6,0.2,0.2
108,Jon Teske,"Jan 3, '22, MEM @ BRK",24,1,3,8,0,1,0,0,0,2,0,2,1,1,0,0,1,0,.000,,.000,2.7,0.0,0.7,0.3,0.3,0.0
109,Cam Thomas,"Oct 19, '21, BRK @ MIL",20,5,223,5206,1197,2735,326,943,706,820,70,564,463,117,34,320,318,3426,.438,.346,.861,23.3,15.4,2.5,2.1,0.5,0.2
110,JT Thor,"Oct 22, '21, CHO @ CLE",19,4,185,2261,224,535,80,252,71,109,110,389,90,49,70,78,169,599,.419,.317,.651,12.2,3.2,2.1,0.5,0.3,0.4
111,Isaiah Todd,"Oct 25, '21, WAS @ BRK",20,2,18,135,10,45,5,26,4,8,5,24,8,5,2,6,8,29,.222,.192,.500,7.5,1.6,1.3,0.4,0.3,0.1
112,Franz Wagner,"Oct 20, '21, ORL @ SAS",20,5,306,9936,2176,4597,449,1390,1093,1280,309,1504,1124,313,107,591,701,5894,.473,.323,.854,32.5,19.3,4.9,3.7,1.0,0.3
113,Ish Wainright,"Nov 19, '21, PHO vs. DAL",27,3,116,1336,132,355,83,252,35,45,75,207,69,62,29,37,174,382,.372,.329,.778,11.5,3.3,1.8,0.6,0.5,0.3
114,M.J. Walker,"Dec 31, '21, PHO @ BOS",23,1,2,8,0,4,0,2,0,0,0,1,1,2,0,0,1,0,.000,.000,,4.0,0.0,0.5,0.5,1.0,0.0
115,Duane Washington Jr.,"Oct 29, '21, IND @ BRK",21,2,79,1362,267,683,121,326,62,85,6,119,148,32,7,91,89,717,.391,.371,.729,17.2,9.1,1.5,1.9,0.4,0.1
116,Lindy Waters III,"Feb 11, '22, OKC @ PHI",24,5,162,2100,287,718,217,591,30,38,49,305,131,65,37,48,162,821,.400,.367,.789,13.0,5.1,1.9,0.8,0.4,0.2
117,Trendon Watford,"Nov 14, '21, POR @ DEN",21,5,227,4033,686,1316,95,270,327,432,201,838,444,111,73,275,463,1794,.521,.352,.757,17.8,7.9,3.7,2.0,0.5,0.3
118,Joe Wieskamp,"Nov 10, '21, SAS vs. SAC",22,2,38,255,23,70,17,55,7,13,4,18,12,4,3,3,17,70,.329,.309,.538,6.7,1.8,0.5,0.3,0.1,0.1
119,Aaron Wiggins,"Nov 14, '21, OKC vs. BRK",23,5,283,5726,960,1916,307,785,257,325,269,902,388,189,69,243,415,2484,.501,.391,.791,20.2,8.8,3.2,1.4,0.7,0.2
120,Lindell Wigginton,"Jan 13, '22, MIL vs. GSW",23,3,29,294,46,103,15,46,29,46,3,32,37,5,3,25,25,136,.447,.326,.630,10.1,4.7,1.1,1.3,0.2,0.1
,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
121,Brandon Williams,"Dec 27, '21, POR vs. DAL",22,4,87,1512,273,639,63,212,171,227,42,179,229,71,18,128,111,780,.427,.297,.753,17.4,9.0,2.1,2.6,0.8,0.2
122,Ziaire Williams,"Oct 20, '21, MEM vs. CLE",20,5,225,4765,677,1615,284,901,247,303,146,707,267,158,60,221,435,1885,.419,.315,.815,21.2,8.4,3.1,1.2,0.7,0.3
123,McKinley Wright IV,"Oct 20, '21, MIN vs. HOU",23,2,32,354,48,101,10,30,13,19,9,47,61,8,5,20,25,119,.475,.333,.684,11.1,3.7,1.5,1.9,0.3,0.2
124,Moses Wright,"Dec 22, '21, LAC @ SAC",23,1,4,14,1,4,0,1,3,3,1,3,2,0,1,0,0,5,.250,.000,1.000,3.5,1.3,0.8,0.5,0.0,0.3
125,Gabe York,"Apr 9, '22, IND @ PHI",28,2,5,77,10,28,7,24,5,7,0,8,9,4,1,1,9,32,.357,.292,.714,15.4,6.4,1.6,1.8,0.8,0.2
126,Omer Yurtseven,"Oct 21, '21, MIA vs. MIL",23,3,113,1334,245,458,9,42,62,95,165,525,80,27,40,82,152,561,.535,.214,.653,11.8,5.0,4.6,0.7,0.2,0.4
